,news_title,news_details,date
241,SEC pressures Amazon on Prime revenue (update),"
Amazon (NASDAQ:AMZN) is among the companies the SEC is pressing to disclose more revenue information to investors, according to WSJ sources.The SEC wants Amazon to disclose how much of its revenue comes from Amazon Prime customers. Amazon argues that information isn't meaningful.In a letter to the tech giant, the SEC noted that Amazon publicly announced topping 100M paid Prime members and 5B shipped Prime items last year and should disclose the associated revenue figures.A recent accounting rule change says companies should consider revealing more revenue information if particular sources are mentioned in earnings releases or calls without any associated revenue data.The SEC isn't forcing the issue right now but plans to continue putting pressure on companies in the new year. If companies continue to refuse, the SEC could insist on the revenue information.Amazon shares are down 1.9% premarket to $1,352.Update: Ford (NYSE:F) and Paccar (NASDAQ:PCAR) shares are also down on revenue disclosure pressure from the SEC.The SEC asked Ford last summer about why it reports vehicle revenue together with parts and accessories revenue. Ford said the two were similar enough for disclosure purposes.Paccar was asked in June if it has considered breaking out fleet customer data since it was mentioned in an earnings call and filings. Paccar said it doesn't manage the business on that basis.As of about 10:50 AM ET, Amazon is up 0.8%, Ford is down 3.2%, and Paccar down 0.7%. ",2018-12-24
242,"Air Transport Services +4%, says Amazon to lease 10 additional aircraft","
Air Transport Services (NASDAQ:ATSG) +4.1% pre-market after announcing deals to lease and operate 10 additional Boeing 767-300 freighters for Amazon.com Services (NASDAQ:AMZN), to extend leases for 20 767 aircraft ATSG currently provides to Amazon, and to extend the operating agreement in which ATSG’s airlines operate those aircraft in the Amazon Air network.In return, AMZN will be granted warrant rights which if exercised would further expand its potential equity stake in ATSG to 33.2%, as well as warrant incentives available for AMZN to increase its potential ownership to 39.9% for leasing up to 17 additional freighter aircraft from ATSG. ",2018-12-21
243,RBC sees $19B in Alexa revenue,"
RBC Capital's fourth annual Amazon (NASDAQ:AMZN) Alexa survey shows a 31% U.S. penetration for the devices compared to 41% for overall smart speakers.RBC thinks Amazon could see $18B to $19B in Alexa-related revenue by 2021, which would represent about 5% of overall revenue.Rating reaffirmed at Outperform with a $2,300 target.Amazon shares are up 0.4% premarket to $1,466.72. ",2018-12-21
244,Report: Amazon lowering seller fees,"
Amazon (NASDAQ:AMZN) is lowering its minimum fees for third-party sellers and the percentage it charges for some Marketplace categories, according to an email viewed by Business Insider.The changes will reportedly take effect on February 19 and are an attempt to increase the variety of products.Amazon shares are down 3.2% to $1,447.19.Previously: Amazon struggles in grocery push (Dec. 20) ",2018-12-20
245,Amazon struggles in grocery push,"
The UBS annual consumer survey shows the number of Amazon (NASDAQ:AMZN) Prime members who shop for groceries at least once a month has dropped Y/Y despite the Whole Foods acquisition and Prime Now expansion.Research firm Brick Meets Click finds that Amazon grocery shoppers spend an average of $74 per month compared to the $200 per month for those using grocery delivery services like Instacart, which pick up from physical retailers.The news could benefit Walmart (NYSE:WMT), Target (NYSE:TGT), and Kroger (NYSE:KR). ",2018-12-20
246,CNBC: Amazon exec leaves after two-year hiatus,"
Amazon (AMZN +1.1%) senior exec Diego Piacentini leaves the company after taking a two-year hiatus to work with the Italian government, according to CNBC sources.The government project ended in October and Piacentini opted not to return to Amazon, where he had led the international business and served on the ""S-Team"" of insiders close to Jeff Bezos.Piacentini was Amazon's third largest employee shareholder at the time of his hiatus. ",2018-12-18
247,Stocks gain strongly after blue Monday,"
U.S. stock markets start strongly, led by industrial goods (+1.6%), tech (+1.1%), and financial (+1.0%).S&P 500 1.1%, Nasdaq +1.1%, Dow +1.4%.Individual names gaining include Amazon (AMZN +1.8%), Alphabet (GOOG +1.6%), Boeing (BA +4.8%), Bank of America (BAC +2.4%).J&J (JNJ +1%) rebounds as it announces a $5B stock buyback; follows a sharp two-day decline on a Reuters story alleging asbestos was found in the company's baby powder.Oracle (ORCL +3.8%) gains after providing better-than-expected Q3 guidance.Crude falls 3.1% to $48.36; prices drop to a 14-month low.U.S. dollar index falls 0.2% to 96.98.U.S. 10-year Treasury bid up, pushing yield down almost 1 basis point to 2.85%; 2-year Treasury yield also down almost 1 basis point at 2.687%. ",2018-12-18
248,Tech companies favor central role of Fed in real-time payments: American Banker,"
Big tech companies and some other fintech firms support the Federal Reserve taking a central role in developing a real-time payment system in the U.S., pitting them against the nation's big banks, who oppose the idea, American Banker reports.Amazon (NASDAQ:AMZN), Apple (NASDAQ:AAPL), and Google (NASDAQ:GOOG) are joined by PayPal (NASDAQ:PYPL), Square (NYSE:SQ), Stripe (STRIP), and Intuit (NASDAQ:INTU) in backing a payment system where the U.S. central bank takes a key role in building the system.""Only the Federal Reserve  can serve as the catalyst to achieve real-time payments ubiquity in a timely manner,"" the tech companies said in a letter submitted by a trade group.Big banks, though, already run their own real-time payment system through The Clearing House, a company they co-own. That system, though, hasn't yet been adopted by smaller financial institutions.The big banks say that starting another payment system could slow progress and interoperability between the two rapid payment systems would be a concern.Related tickers: C, BAC, WFC, JPM, GS ",2018-12-17
249,Aegis names internet M&A potentials for 2019,"
Aegis Capital analyst Victor Anthony thinks several SMID cap Internet names might be acquisition targets if the economy slows next year.Anthony lists the potential targets as Etsy (ETSY -6%), Yelp (YELP -3.7%), Shutterfly (SFLY -5.7%), Groupon (GRPN -3.5%), GrubHub (GRUB -4.1%), Wayfair (W -9.9%), Snap (SNAP -5.2%) and Criteo (CRTO +1.5%). Potential buyers stretch across large cap internet/tech stocks and PE firms.The analyst expects activist investors to push eBay (EBAY -1.2%) for the sale of the Classifieds and StubHub businesses. EBAY could use the cash for repurchases and a ""transformative"" acquisition.Other predictions/suggestions: IAC (IAC -4.1%) spinning off Match Group (MTCH -4.7%) shares and making a ""large"" acquisition and regulators pressuring Amazon (AMZN -4.3%) to split in two, though a forced split likely years away.Source: Bloomberg First Word. ",2018-12-17
250,JPMorgan sticks with Costco,"
 JPMorgan takes some lumps for riding into Costco's (COST -1.9%) earnings report with a positive view on the retailer. ""We share the pain of the 8% stock pullback, and acknowledge that our core margin estimates were too high,"" says analyst Chritopher Horvers, who is still positive on the name. ""It’s a consumer staples stock with low tariff risk, so it’s defensive into a slowing consumer environment in 2019, writes Horvers. ""And it is difficult to find mid-single-digit-plus longer term topline growth with very low Amazon.com (NASDAQ:AMZN)/brand risk,"" he adds. Shares of Costco are down 8% over the last three weeks, Analyst sentiment still leans to the bullish side (17 Buy-equivalent ratings, 11 Hold-equivalent ratings, 1 Sell-equivalent rating). ",2018-12-17
251,France moves ahead with tech tax,"
France will impose a new tech tax worth $570M annually starting the first of the year.The country failed to get support for an EU-wide levy and will now move forward alone on the GAFA tax, named for Google (GOOGL +0.1%), Apple (AAPL +1.4%), Facebook (FB), and Amazon (AMZN -1.4%).France is also working with Germany on plans for a 3% tax on EU ad sales that would begin in 2021. ",2018-12-17
252,AWS signs on in Oracle's JEDI suit,"
Amazon (AMZN -1.6%) Web Services has joined the U.S. government as a defendant in Oracle's (ORCL -0.5%) lawsuit over the Pentagon's $20B, winner-takes-all JEDI cloud contract.Oracle filed a complaint with the U.S. Court of Federal Claims alleging the JEDI process unfairly favored Amazon, violates federal procurement rules, and that two JEDI team members have a conflict of interest due to previous AWS affiliations.AWS says those claims gave it a direct stake in the outcome.The JEDI decision is expected in April. ",2018-12-17
253,WSJ: Amazon works to eliminate CRaP products,"
The Wall Street Journal reports that Amazon (NASDAQ:AMZN) is focusing more on its bottom lines and CRaP products, or those that ""Can't Realize a Profit.""CRaP products have a low price, high weight/shipping costs, and are sold directly by Amazon.In recent months, Amazon has started eliminating unprofitable items and asking manufacturers to improve packaging.Example: Coca-Cola's six-pack of Smartwater was the default for associated Dash buttons, but the quantity then changed to the 24-pack, which increased the cost per bottle. And Coca-Cola now ships the product directly to the consumer. ",2018-12-17
254,CNBC: Amazon considered health test acquisition,"
Amazon (NASDAQ:AMZN) explored acquiring at-home health test company Confer Health earlier this year, but the talks didn't lead to a deal, according to CNBC sources.Confer develops hardware for health tests including fertility and strep throat.The talks reportedly fell apart during the summer, around when Amazon acquired online pharmacy PillPack.Amazon had a team dedicated to diagnostics within its Grand Challenge secret lab/moonshot group as of this past summer, but it's not clear if the group is still active. ",2018-12-14
255,Report: AWS hits bumps in renewable energy,"
Amazon Web Services (AMZN -1.8%) has hit some bumps in its road to its goal of relying solely on renewable energy, according to The Information.AWS made its renewable pledge four years ago and spent the first two years making a spurt of investments. But no new deals have come to light.Sources say AWS quietly canceled plans for a wind farm in Ohio. And a senior exec told colleagues renewable projects cost too much and don't win business. ",2018-12-14
256,Report: AWS replaces Juniper routers,"
Amazon (NASDAQ:AMZN) Web Services has been replacing some of its Juniper Networks (NYSE:JNPR) routers and switches with in-house hardware, according to The Information sources.The change has happened over the past few quarters.Juniper shares closed today down 1.3% to $28.10. ",2018-12-13
257,Instacart will stop Whole Foods deliveries,"
Instacart will stop delivery groceries from Whole Foods, which is owned by rival Amazon (AMZN -0.9%).The disconnect will happen gradually, but customers eventually won't have the option to order Whole Foods through the Instacart app or site.Instacart employs 1,415 part-time workers who pick and pack Whole Foods orders and will offer the chance to transfer to another store or leave the job with severance pay. ",2018-12-13
258,Amazon Go goes real small in Seattle,"
 Amazon (AMZN -0.4%) opened a small Amazon Go store inside one of its buildings in Seattle yesterday as the company continues to experiment with the cashier-less concept. The new store checks in at 450 square feet and features mainly salads and snacks for office workers. Amazon is reported to be looking at the same concept for airports. The tests by Amazon of smaller-sized Amazon Go stores is seen as another indication that a broad roll-out could be more disruptive to convenience store chains like 7-11 (OTCPK:SVNDY) than grocery sellers such as Kroger (KR -0.3%), Target (TGT -1.8%) and Walmart (WMT +0.1%).  ",2018-12-13
259,N.J. labor coalition wants code of conduct for Amazon (update),"
A coalition of labor groups wants New Jersey to enforce a ""code of conduct"" for Amazon (NASDAQ:AMZN) warehouse workers that includes minimum wage, stable hours, and union rights.Warehouse Workers Stand Up release a report detailing the dangerous and unstable work conditions at warehouses for Amazon and other major companies including Costco and Macy's. The report says over 40K New Jersey residents work at warehouse distribution centers.The group wants the state to require companies to sign the code before receiving any potential tax breaks and subsidies such as those Amazon will receive for its NYC portion of HQ2.Read the full report here.Previously: Amazon workers in NYC want to unionize (Dec. 12)Update with Amazon's statement to Seeking Alpha: ""Amazon already provides each of the items suggested, including our $15 hourly minimum wage across the US, which in NJ ranges from $15 - $18.15. We also offer industry leading benefits, including comprehensive healthcare from day one, pre- paid education through Career Choice, and up to 20 weeks parental leave. We are proud of our focus on safety, employee engagement, open door communication culture and industry leading benefits. We encourage anyone to compare our compensation, benefits, and workplace to other retailers, and to come take a tour and see for yourself through our public fulfillment center tours.” ",2018-12-12
260,Amazon workers in NYC want to unionize (update),"
Workers at Amazon's (AMZN +2.6%) new Staten Island fulfillment center announce plans to unionize through a partnership with the Retail, Wholesale and Department Store Union.The employees want to address a variety of issues including safety, insufficient breaks, and unreasonable quotas.An Amazon training video recently leaked that encourages fulfillment managers to look for signs of union organizing activities and to express strong personal disagreement with unions to those workers.Amazon recently selected Queens, New York as one of its HQ2 locations. The tech giant will invest $2.5B in the campus over 15 years and receive over $2B in tax breaks.Update with Amazon's statement to Seeking Alpha: “Amazon associates are the heart and soul of our operations, and we respect employees’ right to choose to join or not join a labor union. Amazon maintains an open-door policy that encourages employees to bring their comments, questions, and concerns directly to their management team for discussion and resolution. We firmly believe this direct connection is the most effective way to understand and respond to the needs of our workforce.” ",2018-12-12
261,Amazon partners with Orange; launches Nordics region,"
French telecom Orange partners with Amazon (NASDAQ:AMZN) to combine voice assistants.The partnership means users can request Amazon products and services through Orange's Djingo assistant.Orange wants to ""go further"" and is working with Amazon to integrate Orange's AI, Djingo, and Alexa into ""our respective devices.""Amazon has a similar integration agreement with French telecom Iliad, which has Alexa in its new set-top box.In other Amazon global news, AWS officially opens its first cloud region in the Nordics after first revealing the plan last April.The AWS Europe (Stockholm) Region brings AWS to a total of 60 Availability Zones across 20 global infrastructure regions. ",2018-12-12
262,Bigger footprint with smaller Amazon Go,"
Amazon (NASDAQ:AMZN) is taking its cashier-free shops in a new, smaller direction.Located in one of the company’s Seattle offices, the eighth Amazon Go store is about a quarter of the size of its predecessors, at a mere 450 square feet.Such small stores could help Amazon broaden its bricks-and-mortar footprint and keep ahead of startups which are trying to convince existing retailers to buy their cashierless technology. ",2018-12-12
263,Report: Japan to increase scrutiny of foreign big-data firms,"
 Japan's government is going to set up an oversight panel to keep a closer eye on foreign ""big data"" companies that deal with concentrated information from consumers and small businesses, Nikkei reports. That affects the usual tech suspects: Facebook (NASDAQ:FB), Amazon.com (NASDAQ:AMZN), Netflix (NASDAQ:NFLX), Google (GOOG, GOOGL), and even Alibaba (NYSE:BABA), among others. The panel is expected to be established as soon as 2020, according to a draft report, and a framework should be in place by next summer. Meanwhile, Japan's Fair Trade Commission will survey the IT industry as early as January with an eye to finding illegal business practices or contracts.  ",2018-12-11
264,Cowen analyst calls Amazon top pick for 2019,"
Cowen analyst John Blackledge calls Amazon (AMZN +0.8%) his best idea for 2019.The analyst forecasts 17% annual revenue growth for the next five years from drivers that include B2B and emerging markets.Blackledge says AWS ""should enjoy years of secular tailwinds driving revenue CAGR of 31 percent from 2019 to 2024 as workloads migrate to the cloud.""Blackledge's Amazon target is at $2,250, a 37% upside. ",2018-12-11
265,Amazon plans chips in Intel's territory,"
The New York Times reports on Amazon's (AMZN +1.3%) plans to create in-house data center chips, putting the e-commerce giant into Intel's (INTC +2.5%) wheelhouse.Amazon won't sell the chips to consumers and won't produce all of the chips it needs. But the move can increase Amazon's bargaining power with Intel, which has dominated the server chip market for years.About 35% of server chips in the world go to 10 companies, according to IDC data. And Intel holds about 97% of that market.Amazon isn't the first company to go it (mostly) alone on chips, and the company already has the AI-focused Inferentia chip. Google has designed in-house AI chips. Facebook and Microsoft are working on similar chips. Apple built its first custom iPhone chip four years ago. ",2018-12-11
266,Report: Disney looks to sell regional sports nets piecemeal,"
 Disney (DIS +1.2%) is increasingly likely to sell off the 22 regional sports networks it's getting from Fox (FOX +0.4%, FOXA +0.2%) in pieces rather than to a single buyer, the New York Post reports. That's due to the complications arising in the sale, according to the report. A single deal would be simpler, but Disney is seeking a solid overall price on a package of deals it must complete within 90 days of closing the $71.3B Fox asset transaction. The only known serious party to make a single bid for all the RSNs is Sinclair Broadcast Group (SBGI +2.6%)/CVC Capital, but the Post says that was a lowball bid. Meanwhile, Apollo (APO +3%) and Nexstar (NXST +4.7%) have bid for almost all the networks -- but Apollo needs a partner, and Nexstar is likely less serious after agreeing to pay $6B for Tribune Media (NYSE:TRCO). Still out there for some slice of the RSNs: Charter (CHTR +0.9%), Minnesota Twins owner Jim Pohlad, Major League Baseball, the New York Yankees (for YES Network), Amazon.com (AMZN +0.4%), Blackstone (BX +2.9%), and Tegna (TGNA +3.2%), among others.  ",2018-12-11
267,Invesco QQQ ETF (QQQ) November Summary,"
November monthly performance was: -1.96%AUM of $66B52-week performance vs. the S&P 500 is: +5%$0.33 in dividends were paid in NovemberTop 10 Holdings as of 11/29/2018: Apple Inc (AAPL): 10.91098%, Microsoft Corp (MSFT): 10.63103%, Amazon.com Inc (AMZN): 10.26999%, Alphabet Inc Class C (GOOG): 4.79084%, Facebook Inc A (FB): 4.20797%, Alphabet Inc A (GOOGL): 4.11657%, Cisco Systems Inc (CSCO): 2.80112%, Intel Corp (INTC): 2.76728%, Comcast Corp Class A (CMCSA): 2.26782%, PepsiCo Inc (PEP): 2.10457% ",2018-12-11
268,"Mattel, Hasbro drop on Amazon's private label toys","
Amazon (AMZN -1.2%) is launching its first private label line of toys for toddlers and kids. TJI Research spotted the AmazonBasics product pages for some products, though shipping isn't yet available.Mattel (NASDAQ:MAT) shares are down 4.5% while Hasbro (NASDAQ:HAS) drops 2.4%. ",2018-12-10
269,Amazon Go flagship for London?,"
Amazon (NASDAQ:AMZN) reportedly plans to open a flagship Amazon Go store in London's West End, according to The Telegraph.Sources say Amazon is looking for a space with 3K to 5K square feet to house the cashier-less store.Amazon tells the Telegraph that it doesn't comment on rumors, which isn't a denial.Previously: Amazon Go getting ready for takeoff (Dec. 7) ",2018-12-10
270,Amazon-Target intrigue again,"
 Loup Ventures analyst Gene Munster continues to believe that Amazon (NASDAQ:AMZN) acquiring Target (NYSE:TGT) would make sense as the company looks to rapidly grow its physical retail presence to compete head on with Walmart (NYSE:WMT). ""Amazon’s core retail competency lies in logistics (not merchandising). The Amazon Go initiative, for example, works so well because it leverages logistics in physical retail,"" writes Munster. While Amazon operates 107 of its own physical retail stores (including Amazon Go, Amazon 4-star, Amazon Pop-Up, and Amazon Books) and has ~500 Whole Foods Market stores in its portfolio, the Seattle giant would still by dwarfed by Walmart's +11K stores even after it does set up the 3K cashier-less stores as has been reported.In full disclosure, Munster postulated something similar about a year ago, but adding intrigue to the new note is the 24% drop in Target's share price over the last 90 days.  ",2018-12-8
271,Market slump continues amid trade tensions,"
Markets go up, and markets go down. For U.S. stock markets, it's now down's turn, as U.S.-China trade tensions persist.Nasdaq -2.3%, S&P 500 -1.8%, Dow -1.8%.Amazon (AMZN -2.3%), Apple (AAPL -2.4%), Alphabet (GOOG -2.4%), and Microsoft (MSFT -2.8%) all off by more than 2%.By sector, consumer services -2.1%, healthcare -2.1%, and tech -1.9%.The basic materials sector--which includes oil & gas companies-- is up 0.1%; utilities +0.5%.Previously: Tech lunch: Huawei woes weigh down Wall Street (Dec. 7) ",2018-12-7
272,Online holiday sales tracking at +19% pace,"
 Online retail sales for the period from November 1 to December 6 was up 18.6% Y/Y to $80.3B, according to tracking by Adobe Analytics.Sales from smartphones were up 55% to $23.7B during the period. The number of shoppers who bought items online to be picked up in store was up 46% from a year ago. The firm forecasts total online retail sales for November and December to top $124B. Major e-commerce players: WMT, TGT, AMZN, M, GPS, HD, EBAY, W, ETSY, SHOP, COST, AAPL, JWN, KSS, NKE, URBN, FL, DKS. Related ETFs: XRT, IBUY.  ",2018-12-7
273,Amazon will charge sellers for safety violations,"
Amazon (NASDAQ:AMZN) will penalize sellers shipping unsafe packages to its warehouses after a string of safety violations.The e-commerce giant sent an email out to third-party sellers last week announcing the fees for not meeting its safety requirements, which include how aerosol products or certain electronics like batteries are packaged.A trial period started on November 29. Amazon will inform sellers at least a month in advance of when it will start charging the fees.According to the U.S. Office of Hazardous Materials Safety, Amazon reported 42 violations of Department of Transportation regulations this year compared to the 32 reports in 2016.On Wednesday, several Amazon warehouse workers in New Jersey were injured when bear repellent packaging was punctured, though it's not clear the package came from a third-party seller. ",2018-12-7
274,Amazon Go getting ready for takeoff,"
Amazon (NASDAQ:AMZN) is looking at bringing its futuristic checkout-free store format to airports, according to public records and Reuters sources.Seven Amazon Go stores have already been opened to the public since January: in Chicago, San Francisco and Seattle.Big business? More than 350M passengers boarded flights at the country’s top 12 airports last year, according to the Department of Transportation. ",2018-12-7
275,Amazon invites users to help Alexa,"
Amazon (AMZN +0.8%) opens Alexa Answers to let select users help the voice assistant answer questions.Amazon has run an internal beta of the program for the past month, according to Fast Company. Employees added responses to more than 100K questions, which have since been provided to Alexa users more than 1M times.Invites to Answers are going out via email today. Selected users can log in and see a list of questions that have stumped Alexa and provide the answers. When Alexa provides that answer, she will start with ""According to an Amazon customer..."" ",2018-12-6
276,France will tax digital giants from 2019,"
France will tax tech giants at a national level from 2019 if EU states cannot reach an agreement on a digital revenue tax.""I am giving myself until March,"" Finance Minister Bruno Le Maire told France 2 television.A tax deal failed to surface on Tuesday, despite a last minute Franco-German plan to salvage the proposal by narrowing its focus to companies like Google (GOOG, GOOGL) and Facebook (NASDAQ:FB).Previously: EU ministers fail to agree on digital tax (Dec. 05 2018) ",2018-12-6
277,Comcast set to launch Amazon Prime Video on Xfinity platform,"
 Comcast (NASDAQ:CMCSA) and Amazon.com (NASDAQ:AMZN) say Amazon Prime Video will launch in the coming week on Comcast's Xfinity X1 platform. That will bring the Prime library of originals, shows, movies and live events alongside Comcast's other offerings for millions of its subscribers. X1 customers will be able to navigate and voice-search Prime Video programming, not just content included with a Prime subscription but also titles for rental/purchase as well as the add-on channels including Showtime and Starz.  ",2018-12-5
278,"Analyst: Google, Amazon releasing AirPods rivals","

Noted Apple (NASDAQ:AAPL) analyst Ming-Chi Kuo suggests Google   (GOOG, GOOGL) and Amazon (NASDAQ:AMZN) are working on AirPods competitors, but he thinks Apple can keep the market lead by adding new functions.
Kuo cites supply chain sources and names Goertek and Unitech as the suppliers for the rival products, which the analyst thinks could launch in 2H19.
Kuo forecasts 10M to 20M combined units shipped for the AirPods-like products next year.
In a report on Sunday, Kuo said he expected AirPods with wireless charging to come out in 1Q19 followed by an all-new design in 2020.
Kuo's AirPods forecast has 26M to 28M this year, 50M to 55M in 2019, and over 100M by 2021.
Previously: Major upgrades coming to Apple's Airpods? (Dec. 3)
 ",2018-12-5
279,EU ministers fail to agree on digital tax,"

EU finance ministers failed to agree on a digital revenue tax on Tuesday, despite a last minute Franco-German plan to salvage the proposal by narrowing its focus to companies like Google (GOOG, GOOGL) and Facebook (NASDAQ:FB).
The tax requires the support of all 28 EU states, including small, low-tax countries like Ireland which have benefited by allowing multinationals to book profits there on digital sales to customers elsewhere in the EU.
Previously: FT: France, Germany plan digital tax compromise (Dec. 03 2018)
 ",2018-12-5
280,"Amazon, Stamps.com drop on suggested USPS hike","

A commission appointed by President Trump recommends that the U.S. Postal Service hike its rates for shipping packages.
Trump assembled the commission after slamming Amazon (AMZN -5.9%) for allegedly underpaying the USPS for package shipments.
Commission member and Treasury Secretary Steven Mnuchin: ""Today’s report contains achievable recommendations that fulfill the President’s goal of placing the USPS on a path to sustainability, while protecting taxpayers from undue financial burdens and providing them with necessary mail services.”
Last month, the USPS reported FY18 results with an overall volume decline of 3.2B pieces and a net loss of $3.9B. Revenue was up $1B Y/Y largely due to the Shipping and Packages business, which had a 10% Y/Y revenue growth to $2.1B.
Amazon shares are down 5% on the news while Stamps.com (NASDAQ:STMP) is down 5%, UPS (NYSE:UPS) drops 7%, and FedEx (NYSE:FDX) dips 5.9%.
 ",2018-12-4
281,"FT: France, Germany plan digital tax compromise","

France and Germany abandon an EU plan to impose a digital tax on tech companies. The duo will instead propose a 3% tax on digital ad revenue, according to plans viewed by the Financial Times.
The wider digital tax plan would have also included data sales and online platform activities.
Under the Franco-German plan, Facebook (FB +0.9%) and Google (GOOGL +0.5%) would remain targets, but retailers like Amazon (AMZN +4.2%) would be excluded.
The compromise plan will go into effect in 2021 if another global solution isn't reached before then.
Previously: Britain will target tech giants with digital tax in 2020 (Oct. 29)
 ",2018-12-3
