,news_title,news_details,date
14,Acer Therapeutics EPS of -$0.11,"
 Acer Therapeutics (NASDAQ:ACER): Q1 EPS of -$0.11 may not be comparable to consensus of -$0.69. Cash, cash equivalents and securities available-for-sale of $22.1M Press Release  ",2018-05-14
15,Key events next week - healthcare,"
Noteworthy events for the week of March 11 - 17 for healthcare investors:Sunday (3/11): ROTH Conference, Dana Point, CA (3 days). OptimizeRx (NASDAQ:OPRX); AzurRx BioPharma (NASDAQ:AZRX); CV Sciences (OTCQB:CVSI); Radisys (NASDAQ:RSYS); Galectin Therapeutics (NASDAQ:GALT); AxoGen (NASDAQ:AXGN); Galmed Pharmaceuticals (NASDAQ:GLMD); Glaukos (NYSE:GKOS); Restoration Robotics (NASDAQ:HAIR); Processa Pharmaceuticals (OTCPK:PCSA); CynergisTek (NYSEMKT:CTEK); Ritter Pharmaceuticals (NASDAQ:RTTR); ArQule (NASDAQ:ARQL); Hemispherx (NYSEMKT:HEB); CymaBay Therapeutics (NASDAQ:CBAY);��Dar矇 Bioscience (NASDAQ:DARE); Krystal Biotech (NASDAQ:KRYS); Myomo (NYSEMKT:MYO); Lipocine (NASDAQ:LPCN); Cellectar Biosciences (NASDAQ:CLRB); Clarus (NASDAQ:CLAR); Nanotech Security (OTCQX:NTSFF); ChromaDex (NASDAQ:CDXC); Viking Therapeutics (NASDAQ:VKTX); Bio-Path Holdings (NASDAQ:BPTH); Recro Pharma (NASDAQ:REPH); Aptose Biosciences (NASDAQ:APTO); Tonix Pharmaceuticals (NASDAQ:TNXP); Cotinga Pharmaceuticals (OTCQB:COTQF); Altimmune (NASDAQ:ALT); Cyclacel Pharmaceuticals (NASDAQ:CYCC); Avid Bioservices (NASDAQ:CDMO); Acer Therapeutics (NASDAQ:ACER); Biocept (NASDAQ:BIOC); Evoke Pharma (NASDAQ:EVOK); Can-Fite BioPharma (NYSEMKT:CANF); TRACON Pharmaceuticals (NASDAQ:TCON); Depomed (DEPO); Zomedica (ZOMHF); Aimmune Therapeutics (NASDAQ:AIMT); Anthera Pharmaceuticals (OTC:ANTH); GlycoMimetics (NASDAQ:GLYC); Imprimis Pharmaceuticals (NASDAQ:IMMY-OLD); Actinium Pharmaceuticals (NYSEMKT:ATNM); AIT Therapeutics (OTCQB:AITB); Stemline Therapeutics (NASDAQ:STML); Gemphire Therapeutics (NASDAQ:GEMP); Organovo (NASDAQ:ONVO); Sorrento Therapeutic (NASDAQ:SRNE); Avadel Pharmaceuticals (NASDAQ:AVDL); EyeGate Pharmaceuticals (NASDAQ:EYEG). ",2018-03-9
16,Acer Therapeutics misses by $0.16,"
Acer Therapeutics (NASDAQ:ACER): Q4 EPS of -$0.63 misses by $0.16.Cash and equivalents of $15.6MPress Release ",2018-03-7
17,Premarket analyst action - healthcare,"
Acer Therapeutics (NASDAQ:ACER) initiated with Outperform rating with a $47 (178% upside) price target at William Blair. Shares are up��16%��premarket on light volume.Aerie Pharmaceuticals (NASDAQ:AERI) resumed with Buy rating and $78 (45% upside) at H.C. Wainwright.Calithera Biosciences (NASDAQ:CALA) upgraded to Buy with a $14 (101% upside) price target at Citigroup. Shares up��12%��premarket on light volume.Acorda Therapeutics (NASDAQ:ACOR) upgraded to Overweight with an $37 (47% upside) price target at Piper Jaffray. Shares are up��3%��premarket albeit on only 10 shares.Pacira Pharmaceuticals (NASDAQ:PCRX) downgraded to Hold at Needham after negative split Ad Com vote on EXPAREL. Shares down��18%��premarket on increased volume.Bio-Rad Laboratories (NYSE:BIO) downgraded to Neutral at CL King.Biogen (NASDAQ:BIIB) downgraded to Hold at Argus Research. ",2018-02-16
18,Acer Therapeutics announces partial exercise of over-allotment option in public offering,"
 Acer Therapeutics (NASDAQ:ACER) announces that the underwriters of its previous public offering of common stock have partially exercised their over-allotment option by purchasing an additional 130,000 shares at a price of $12 per share, resulting in additional gross proceeds of $1.56M.The total number of shares sold increased to 1,046,667 shares, after��giving effect to the partial exercise��and the total gross proceeds increased to $12.56M. Net proceeds will be used to fund its R&D efforts, for development and commercialization of EDSIVO, for working capital and general corporate purposes.Yesterday's close was $14.08.  ",2017-12-28
19,Premarket analyst action - healthcare,"
Moleculin Biotech (NASDAQ:MBRX) initiated with Buy rating and $8 (373% upside) price target by Roth Capital. Shares up��7%��premarket on light volume.Audentes Therapeutics (NASDAQ:BOLD) initiated with Buy rating and $37 (18% upside) price target by H.C. Wainwright.Acer Therapeutics (NASDAQ:ACER) initiated with Buy rating and $50 (317% upside) price target by H.C. Wainwright.Voyager Therapeutics (NASDAQ:VYGR) initiated with Buy rating and $32 (129% upside) price target by BTIG Research.G1 Therapeutics (NASDAQ:GTHX) initiated with Buy rating and $38 (97% upside) price target by BTIG Research.BioCryst Pharmaceuticals (NASDAQ:BCRX) initiated with Equal Weight rating and $6 (20% upside) price target by Barclays.Biogen (NASDAQ:BIIB) upgraded to Outperform by Credit Suisse.Quorum Health (NYSE:QHC) upgraded to Equal Weight by Morgan Stanley.Zimmer Biomet Holdings (NYSE:ZBH) upgraded to Neutral by Goldman Sachs.Varex Imaging (NASDAQ:VREX) upgraded to Neutral by JPMorgan.HCA Healthcare (NYSE:HCA) and Tenet Healthcare (NYSE:THC) downgraded to Underweight by Morgan Stanley citing exposure to CVS Health and UnitedHealth after recent vertical integration deals. Both down��1%��premarket on light volume.Genomic Health (NASDAQ:GHDX) downgraded to Market Perform by William Blair.Gilead Sciences (NASDAQ:GILD) downgraded to Neutral by Credit Suisse. Shares down��1%��premarket on modest volume.Aetna (NYSE:AET) downgraded to Equal Weight by Morgan Stanley. ",2017-12-20
20,"Acer prices equity offering, shares down 12% premarket","
Acer Therapeutics (NASDAQ:ACER) prices its public offering of 916,667 shares of common stock at $12 per share. Underwriters over-allotment is an additional 137.5K shares. Closing date is December 14.Shares are down��12%��premarket on light volume.Yesterday's close was $14.15. ",2017-12-12
21,Acer Therapeutics readies equity offering,"
Acer Therapeutics (NASDAQ:ACER) commences a public offering of common stock. Price, volume and terms have yet to be released. ",2017-12-11
22,Acer Therapeutics beats by $0.15,"
Acer Therapeutics (NASDAQ:ACER): Q3 EPS of -$1.09 beats by $0.15.Cash of $8.4M.Press Release ",2017-11-13
23,Opexa Therapeutics to be taken over by Acer,"
Acer Therapeutics shareholders will end up with 88.8% of the combined company, with current Opexa (OPXA) shareholders ending up with the remaining 11.2%.On closing, Opexa's name will be changed to Acer and the ticker symbol is expected to be changed to ""ACER."" Management will be taken over by the team at Acer. ",2017-07-3
24,Opexa Therapeutics beats by $0.01,"
Opexa Therapeutics (OPXA): Q1 EPS of -$0.12 beats by $0.01.Cash and equivalents of $2.82MPress Release ",2017-05-12
25,Opexa transitions manufacturing and development ops to KBI Biopharma,"
Opexa Therapeutics (OPXA) has leased its The Woodlands, TX facility to KBI Biopharma for ~$1M/year. KBI, a global contract development and manufacturing outfit, will assume responsibility for the manufacturing of its cellular therapies. The transaction enables Opexa to eliminate its financial liabilities for the facility and equipment. ",2017-02-1
26,"Opexa up almost 50%, equity offering coming?","
Nano cap Opexa Therapeutics (OPXA +47.7%) jumps on more than triple normal volume. Shares are up 160% since bottoming at $0.50 on November 9 after the Tcelna flop in a multiple sclerosis study.No particular news accounts for the action, but the company stated in a November 14 press release that its quick assets will only be sufficient to fund operations into Q1. An equity offering could be announced any time. ",2016-12-9
27,"Opexa Therapeutics misses by $0.03,  revenue in-line","
Opexa Therapeutics (OPXA): Q3 EPS of -$0.28 misses by $0.03.Revenue of $0.72M in-line (flat Y/Y).Press Release ",2016-11-14
28,Opexa's Tcelna flunks mid-stage MS study; shares crater 68% premarket,"
Thinly traded nano cap Opexa Therapeutics (OPXA) plummets��68%��premarket on robust volume in response to its announcement that a Phase 2b study, Abili-T, assessing Tcelna (imilecleucel-T) in patients with secondary progressive multiple sclerosis failed to meet the primary endpoint of a reduction in brain volume change (atrophy) nor the secondary endpoint of reduction in the rate of sustained disease progression. On the plus side, Tcelna was safe and well-tolerated.The company will continue its analysis of the data and will consider cash preservation options.Tcelna is a personalized T-cell immunotherapy that is specifically tailored to each patient's immune response profile to myelin, a white fatty substance that insulates nerve cells. Multiple sclerosis is characterized by damage to this insulation, called the myelin sheath. ",2016-10-28
29,Opexa longs head for the exits ahead of Roche data presentation for MS candidate ocrelizumab; shares down 22%,"
Thinly traded nano cap Opexa Therapeutics (OPXA -22.2%) slumps on more than an 8x surge in volume, albeit on turnover of only 406K shares, as investors reportedly hit the sell button over concerns that Roche's (OTCQX:RHHBY) multiple sclerosis (MS) candidate OCREVUS (ocrelizumab) will hit the U.S. market before Tcelna. If, indeed, this is the reason for the exodus, investors must have been asleep for some time. The FDA's action date (PDUFA) for the BLA is December 28, announced in June. Opexa has not filed its marketing application yet. Top-line data from a Phase 2b study, Abili-T, are expected in Q4.An upcoming data presentation may be the real reason for the bearish activity. On October 10, results from Roche's Phase 3 study, ORATORIO, will be presented at the 31st Congress of the European Committee for Treatment and Research in Multiple Sclerosis in Barcelona. The study involved patients with primary progressive MS. The study met its primary endpoint, a statistically valid reduction in the progression of clinical disability compared to placebo.The primary endpoint of Opexa's Abili-T is the percent change in brain volume at Month 24 measured by MRI. The indication is secondary progressive MS. If Roche's ocrelizumab is approved for primary progressive MS, it will be used to treat secondary progressive MS so Abili-T's top-line data need to be impressive. ",2016-09-14
30,"Opexa Therapeutics misses by $0.07,  revenue in-line","
Opexa Therapeutics (OPXA): Q2 EPS of -$0.30 misses by $0.07.Revenue of $0.73M in-line (flat Y/Y).Press Release ",2016-08-11
31,Opexa up 28% on (early) expectations of positive Tcelna data in MS study,"

Thinly traded nano cap Opexa Therapeutics (OPXA +27.5%) is up on a whopping 120x surge in volume. Shares almost doubled since Monday before retracing as eager investors pile in apparently expecting positive results from the Phase 2b Abili-T trial assessing lead product candidate Tcelna (imilecleucel-T) for the treatment of secondary progressive multiple sclerosis, an FDA Fast Track designation. Last month, the company reported that 98% of all patient visits have been completed. The release of top-line data, however, is not expected until Q4.
Tcelna is a personalized T-cell immunotherapy that is specifically tailored to each patient's immune response profile to myelin, a white fatty substance that insulates nerve cells. Multiple sclerosis is characterized by damage to this insulation, called the myelin sheath.
Secondary progressive MS represents ~half of the total MS population. Patients have very limited treatment options.
Previously: Opexa bulls finally see favorable action; shares up almost 70% in two days (Nov. 24, 2015)
 ",2016-05-25
32,"Opexa Therapeutics beats by $0.04, beats on revenue","

Opexa Therapeutics (OPXA): Q1 EPS of -$0.31 beats by $0.04.
Revenue of $0.73M (+92.1% Y/Y) beats by $0.33M.
 ",2016-05-12
33,"Opexa Therapeutics misses by $0.19, misses on revenue","

Opexa Therapeutics (OPXA): FY15 EPS of -$2.05 misses by $0.19.
Revenue of $2.56M (+101.6% Y/Y) misses by $0.01M.
 ",2016-03-15
34,"Opexa axes almost a third of its workforce, extending cash runway into Q1 2017","

In a regulatory filing, nano cap Opexa Therapeutics (OPXA) discloses that is implementing a restructuring plan that includes a workforce reduction of 30% (11 positions) from its current staff of 36 employees, including CFO Karthik Radhakrishnan.
The aim of the initiative is to reduce operating expenses and conserve cash so it may complete its Phase 2b study, Abili-T, assessing lead product candidate Tcelna in patients with secondary progressive multiple sclerosis. Top-line data are expected in Q4.��The restructuring should extend the company's cash runway into Q1 2017.
 ",2016-03-2
35,Opexa bulls finally see favorable action; shares up almost 70% in two days,"

Beleaguered longs in thinly traded nano cap Opexa Therapeutics (OPXA +24.1%) finally get a ray of daylight. Shares have rallied almost 70% since yesterday, although they are still down��98%��from their secondary peak in September 2009. No particular news accounts for the action other than a recent presentation on the company by chief Neil Warma in Boston.
The company's lead product candidate is Tcelna, a personalized T-cell immunotherapy currently in Phase 2b development for Fast Track-designated secondary progressive multiple sclerosis. Top-line data from the 190-subject randomized trial are expected in H2 2016.
The company has almost $16M in cash and is burning slightly more than $1M per month.
 ",2015-11-24
36,Opexa Therapeutics reports Q3 results,"

Opexa Therapeutics (OPXA): Q3 EPS of -$0.42
Revenue of $0.73M (+135.5% Y/Y)
 ",2015-11-10
37,Healthcare ratings roundup,"

The Medicines Co. (MDCO +1.4%) initiated with Buy rating and $50 (27% upside) price target by Chardan Capital.
Opexa Therapeutics (OPXA +1.9%) initiated with Buy rating and $6 (189% upside) price target by Chardan Capital.
ISIS Pharmaceuticals (ISIS +2.5%) upgraded to Overweight from Neutral by Piper Jaffray. Price target raised to $80 (44% upside) from $64.
AbbVie (ABBV +1.4%) upgraded to Overweight from Equal Weight by Morgan Stanley. Price target raised to $73 (15% upside) from $62.
MannKind (MNKD +1.4%) downgraded to Underperform from Outperform by RBC Capital Markets. Price target lowered to $1 (65% downside risk) from $9.
Valeant Pharmaceuticals (VRX +4.9%) downgraded to Neutral from Buy by Goldman Sachs. Price target lowered to $122 (48% upside) from $180.
 ",2015-11-6
38,Opexa Therapeutics,"
Thinly traded nano cap Opexa Therapeutics (OPXA +24.8%) is up on a 10x surge in volume, albeit on turnover of only 900K shares. No particular news accounts for the move other than the initiation of coverage by Chardan Capital with a Buy rating and $6 (54% upside)��price target. ",2015-11-4
39,Opexa reverse splits stock 1:8 effective after today's close,"
Opexa Therapeutics (OPXA) will execute a 1:8 reverse split of its common stock effective today after the close. Trading in split-adjusted shares will commence tomorrow. ",2015-09-28
40,Opexa secures $5M in funding for NMO program,"

Nano cap Opexa Therapeutics (OPXA) enters into a stock purchase agreement with a private investor for up to $5M to fund its neuromyelitis optica (NMO) program, including its Phase 1/2 trial, upon the achievement of certain milestones.
The funding will be provided in five tranches based on the completion of the milestones. The first tranche, $500K based on the issuance of 909,090 shares of stock at $0.55 per share, was delivered today. The first tranche also included a warrant to purchase 909,090 shares of stock at $0.50 per share until June 30, 2016. The exercise price increases to $1.50 per share thereafter through April 9, 2018.
Subsequent tranches totaling $4.5M are based on the completion of preclinical activities, the submission of an IND for OPX-212 for NMO no later than February 15, 2016 and other milestones. Each tranche will be based on the sale of common stock only. No additional warrants will be issued.

NMO is a rare autoimmune disorder that effects the optic nerves and spinal cord. It is characterized by the loss of myelin, a fatty substance surrounding nerve fibers, due to the chronic attack from immune cells and antibodies. There are no cures for the condition.
 ",2015-09-1
41,Opexa Therapeutics beats by $0.01,"

Opexa Therapeutics (OPXA): Q2 EPS of -$0.07 beats by $0.01.
Revenue of $0.7M (+125.8% Y/Y)
 ",2015-08-12
42,Opexa Therapeutics revenues up 33% in Q1 results,"

Opexa Therapeutics (OPXA +0.3%) Q1 results: Revenues: $0.4M (+33.3%); R&D Expense: $2.6M (-7.1%); SG&A: $1M (-9.1%); Net Loss: ($3.4M) (+8.1%); Loss Per Share: ($0.12) (+7.7%); Quick Assets: $9.6M (-3.0%).
No guidance given.
 ",2015-05-13
43,"Opexa Therapeutics beats by $0.03, beats on revenue","

Opexa Therapeutics (OPXA): Q1 EPS of -$0.12 beats by $0.03.
Revenue of $0.38M (+8.6% Y/Y) beats by $0.07M.
 ",2015-05-12
44,French biotech's B-vitamin beats placebo in Phase 3 MS study,"

Privately-held French biotech medDay Pharmaceuticals��reports results from a Phase 3 clinical trial (MS-SPI) evaluating MD1003, a pharmaceutical-grade biotin, for the treatment of primary and secondary progressive multiple sclerosis. The study met its primary endpoint in the intent-to-treat population with 12.6% of patients treated with MD1003 showing an improvement in EDSS (Expanded Disability Status Scale) or TW25 (a timed 25-foot walk) at Month 9 compared to 0% for placebo (p=0.0051).
Secondary analyses showed evidence of a decrease in the risk of disease progression. Mean EDSS scores in the treatment group between the start of treatment and Month 12 decreased (-0.03) compared to progression (+0.13) in the placebo cohort (p=0.015). Four percent of patients in the MD1003 group showed EDSS progression at Month 9 confirmed at Month 12 compared to 13% for placebo (p=0.07).

Biotin is a B-vitamin known as vitamin H or coenzyme R. It plays a key role in cell growth, the production of fatty acids and the metabolism of fats and amino acids.
The data were presented at the American Academy of Neurology Annual Meeting in Washington, DC. Full results will be submitted for publication in a peer-reviewed journal.
MS-related tickers: (BIIB -5.9%)(SNY +0.3%)(NVS -0.9%)(TEVA +1.4%)(FWP -0.3%)(OPXA)(RCPT +0.1%)(CHRS -3.3%)(ABBV +1.7%)
 ",2015-04-24
45,Opexa completes $12M capital raise,"

Opexa Therapeutics (OPXA) completes its rights of offering through subscriptions for 25,098,437 units at $0.55 per unit, a discount to its original target of $0.70. Each unit consists of one share of common stock and one warrant to purchase one share of common at $0.50 per share through June 30, 2016 and at $1.50 per share thereafter until the end of the three-year term.
Net proceeds of ~$12M will fund the ongoing Phase 2b of Tcelna in patents with secondary progressive multiple sclerosis, the preclinical and manufacturing activities for OPX-212 and general corporate purposes.
Previously: Opexa sets date for rights offering (Feb. 25)
 ",2015-04-9
46,Opexa gets $3M payment from Merck Serono on license amendment,"

Opexa Therapeutics (OPXA +1.4%) revises its Tcelna (imilecleucel-T) option and license agreement with Merck Serono whereby the latter pays Opexa $3M. The payment is in consideration of Opexa creating a detailed pre-Phase 3 plan to achieve operational readiness in the U.S. and Europe by the end of December 2016 and to provide Merck Serono with timely updates and analyses of Opexa's immune monitoring program regarding its ongoing Phase 2b Abili-T clinical trial assessing Fast Track-designated Tcelna in secondary progressive multiple sclerosis (MS), including Merck's right to review current and future data storage and integrity measures for the trial.
The $3M payment will support the Abili-T trial as well as the preparation and planning of the Phase 3 studies. Top-line data from Abili-T is expected in H2 2016.
The companies signed the original option and license agreement is February 2013, at which time Opexa received a $5M upfront payment. Merck Serono has an option to acquire an exclusive, worldwide license, exclusive of Japan, for Tcelna for the treatment of MS.
 ",2015-03-9
47,Opexa sets date for rights offering,"

Opexa Therapeutics (OPXA) sets 5:00 pm ET, March 13, 2015 as the record date for its upcoming rights offering. The company intends to issue subscription rights to purchase units at $0.70 per unit. Each unit will consist of one share of common stock and one warrant to purchase one share of common stock for a three-year term.
The warrant exercise price will be $0.50 per share from the date of issuance through June 30, 2016 and $1.50 per share from July 1, 2016 through the warrant expiration date.
Net proceeds will fund the completion of the Phase 2b trial of Tcelna in patients with secondary progressive multiple sclerosis, expected to be completed in H2 2016, the preclinical and manufacturing activities for OPX-212 and general corporate purposes.
 ",2015-02-25
48,Opexa Therapeutics reports FY results,"

Opexa Therapeutics (OPXA): FY14 EPS of -$0.54
Revenue of $1.27M (flat Y/Y)
 ",2015-02-23
49,Opexa reports November 6,"

Opexa Therapeutics (OPXA -2.1%) will report Q3 results on November 6 after the close. The conference call will begin at 4:00 pm CT/5:00 pm ET.
Consensus view is a loss of ($0.15) on revenues of $330K.
 ",2014-11-5
50,Forward Pharma on deck for IPO,"

Danish biopharmaceutical firm Forward Pharma A/S��(NASDAQ:FWP) is set for an IPO of 9.5M American Depository Shares at $20 - 22.
Its lead product is FP187, a proprietary formulation of dimethyl fumarate (DMF) for the treatment of multiple sclerosis (MS), about to enter Phase 3 development.
Meaningful revenues appear far in the distance, however. Patient recruitment for FP187's Phase 3 trial will take at least 18 months and the completion of the last patient's 48-week treatment will take a total of 30 months.
The firm's operating losses for 2013 and 1H 2014 were $9M and $7.4M, respectively.
F-1
MS-related tickers: (NASDAQ:BIIB) (NYSE:ABBV) (NYSEMKT:SYN) (NASDAQ:CNCE) (NASDAQ:SNY) (NASDAQ:XNPT) (NYSEMKT:INO) (OPXA) (NYSE:TEVA) (NASDAQ:ALKS) (RCPT) (NASDAQ:AVNR) (NASDAQ:GCVRZ) (NYSE:NVS) (QCOR)
 ",2014-10-7
51,Forget yesterday's announcement,"
In a stunningly quick reversal, Opexa Therapeutics (OPXA) terminates its public offering of stock announced yesterday. Management apparently assessed the situation after the close (its PR went out at 4:21 pm EDT) and determined that market conditions do not favor proceeding. ",2014-09-16
52,Opexa to float stock,"

Opexa Therapeutics (OPXA -5.2%) plans to execute a public offering of common stock. All shares will be sold by the company.
Net proceeds will fund the ongoing Abili-T clinical trial in Tcelna patients with secondary progressive MS, preclinical and manufacturing activities for OPX-212 in patients with neuromyelitis optica and potentially an IND to initiate a Phase 1/2 proof-of-concept study.
Opexa will price the offering shortly.
 ",2014-09-15
53,Opexa starts development on a second indication for Tcelna,"

Opexa Therapeutics (OPXA) begins development on Tcelna (imilecleucel-T) for the treatment of Neuromyelitis optica, a rare autoimmune disorder designated as an Orphan disease by the FDA. There is no cure for the disease and no FDA-approved therapies available.
The company is also developing Tcelna as a treatment for multiple sclerosis.
 ",2014-09-8
54,Opexa Therapeutics Q2 results,"

Opexa Therapeutics (OPXA +1.3%) Q2 results: Revenues: $0.3M (-11.8%); Operating Expenses: $4.5M (+46.1%); Net Loss: ($4.2M) (-38.9%); Loss Per Share: ($0.15) (+59.5%); Quick Assets: $16.2M (-31.4%).
No financial guidance given.
 ",2014-08-14
55,Opexa Therapeutics misses by $0.02,"

Opexa Therapeutics, Inc. (OPXA): Q2 EPS of -$0.15 misses by $0.02.
Revenue of $0.31M (-11.4% Y/Y)
 ",2014-08-14
56,Opexa Therapeutics EPS of -$0.13,"

Opexa Therapeutics (OPXA): Q1 EPS of -$0.13.
Revenue of $0.35M (+58.4% Y/Y).
 ",2014-05-14
57,Opexa Therapeutics falls after pricing offering at discount,"

Shares of Opexa Therapeutics (OPXA -9.6%) are off sharply.
Tuesday evening, the company said it priced a 4.12M share public offering at $1.70, a ~10% discount to yesterday's close. (PR)
 ",2013-12-18
58,Opexa Therapeutics EPS of -$0.37,"
 Opexa Therapeutics (OPXA): Q2 EPS of -$0.37.
Revenue of $0.34M. (PR)
 ",2013-08-14
59,"Opexa prices offering, shares plummet","
 Rampant speculation about buyouts, secondaries, and lost Rebif market share led to a wild session for shares of Opexa Therapeutics (OPXA) Wednesday, with the stock closing up 131%. Last night, the company priced a 12M share offering at $1.50, a steep discount to Wednesday's inflated close. (PR) Shares -43% premarket.  ",2013-08-8
60,Opexa may have cancelled $15M secondary,"

More speculation regarding the sharp rally in Opexa (OPXA +123.8%) shares: The company may have cancelled a $15M secondary last night, according to an unnamed buy-side source cited by Adam Feuerstein.
Feuerstein says the deal was priced at $0.75.
 ",2013-08-7
61,Tcelna speculation possibly driving Opexa gains,"
 The rumor mill is abuzz: Comments from Merck KGaA (OTCPK:MKGAF) regarding a 2-3% market share loss (transcript) for the MS treatment Rebif at the hands of Biogen's Tecfidera are fueling speculation that the German drug and materials company may heighten its focus on Tcelna, a treatment for Secondary Progressive MS being developed in conjunction with Opexa Therapeutics (OPXA). Shares of OPXA are now up 57% before the bell.  ",2013-08-7
62,Opexa Therapeutics up sharply in premarket trading,"
 Opexa Therapeutics (OPXA) investors be advised: The shares are up some 53% premarket with no obvious driver or catalyst.  ",2013-08-7
