,news_title,news_details,date
20,Oil service stocks drop as Halliburton's Q2 fails to calm concerns,"
 Oil service stocks are dropping amid Halliburton���s (HAL -8.3%) Q2 earnings  conference call, as the company comments on Permian bottlenecks, pricing and  temporary softness in the Marcellus Shale. HAL, which fell slightly in premarket trading after reporting in-line Q2 results, has plunged as much as 8% after the opening bell, the most intraday since August 2015; other sector losers include RES -6.9%, PTEN -4.6%, SPN -3.4%, PKD-OLD -3.1%, WFT -3%, NBR -2%, HP -1.5%, NOV -1.3%. Societe General's Edward Muztafago says HAL's Q2 is less about the earnings number and more about worries over transportation constraints in the Permian Basin.Wells Fargo���s Jud Bailey says investor expected a strong Q2 beat, adding that HAL���s outlook for  North American activity and margins in H2 2018 is critical; the firm sees the outlook ""likely to soften given the recent weakness in  pressure pumping supply/demand fundamentals."" (Briefing.com)HAL��CEO Jeff Miller in the conference call, on concerns about transporation bottlenecks in the Permian Basin: ""In some ways, we're a victim of our own success, as we develop longer  laterals with better production. As a result, we expect this area to  have temporary softness in the back half of 2018, but it's poised to  regain activity as a calendar turns to 2019 and additional pipeline  capacity is available... I expect that these temporary efficiency drags will create headwinds for additional upward pricing"" in Q3. ",2018-07-23
21,"Helmerich & Payne upped to Buy at Jefferies, seeing Permian falloff shallow","
 Helmerich & Payne (HP +1.4%) is higher after Jefferies upgrades shares to Buy from Hold with an $80 price target, raised from $72, saying the 13% pullback over the past month is unwarranted. Shares of land drillers are down 21% since mid-May as investors fret over potential Permian activity decline and the recent oil weakness, but Jefferies analyst Brad Handler believes any Permian drop-off will be shallow and limited to H2 of the year. ""HP retains best-in-class exposure to a super-spec rig market that should tighten further and allow for strong [free cash flow] inflection through the next 24 months,"" Handler writes, adding that U.S. land drilling fundamentals remain strong. ",2018-06-19
22,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous.Payable June 1; for shareholders of record May 18; ex-div May 17. ",2018-05-16
23,"Helmerich & Payne beats by $0.01, beats on revenue","
Helmerich & Payne (NYSE:HP): Q2 EPS of -$0.05 beats by $0.01.Revenue of $577.5M (+42.5% Y/Y) beats by $14.66M.Press Release ",2018-04-26
24,Helmerich & Payne picks Smith as new CFO,"
 Helmerich��& Payne (HP +1.7%) appoints of Mark Smith as its new CFO effective May��1, succeeding Juan Pablo Tardio, who had previously announced his retirement. Smith was Senior VP and CFO at Atwood Oceanics during 2015-17 after serving in several financial management positions from 2009; previously, he was a partner at Calvetti Ferguson during 2006-09, and a senior manager at PricewaterhouseCoopers during 2003-06. ",2018-04-5
25,Crude oil rallies to seven-week high after U.S. stockpile decline,"
 Crude oil futures climbed today to their highest levels in nearly seven weeks, as a surprise 2.6M-barrel drop in U.S. crude inventories added further support to prices which already had been supported by geopolitical risk to production. U.S. WTI crude for May delivery jumped 2.6% to $65.17/bbl while Brent crude surged 3% to $69.47/bbl, both settling at their highest values since early February. ���After 42 months, the U.S. crude surplus has finally gone,��� Standard Chartered analysts say, also noting that U.S. crude inventories have dropped below the five-year average level for the first time since 2014, bucking seasonal trends. On top of the bullish data, Saudi Crown Prince Mohammed bin Salman���s meeting with Pres. Trump in Washington raised the potential for a harder U.S. line against Iran.Today's top five gainers on the S&P 500 were energy stocks: RRC +7.6%, MRO +6.9%, NFX +6%, NBL +5.9%, HP +5.4%. ETFs: USO, XLE, OIL, UWT, UCO, VDE, XOP, DWT, ERX, OIH, SCO, BNO, DBO, ERY, DIG, BGR, GUSH, DTO, FENY, USL, IYE, DUG, DRIP, IEO, FIF, DNO, NDP, PXE, OLO, RYE, PXJ, SZO, CRAK, FXN, OLEM, WTIU, DDG, OILK, NANR, OILX, WTID, USOI, USOU, USOD, FTXN, JHME, UBRT, ERYY, DBRT, ERGF, OILD, OILU, USAI  ",2018-03-21
26,"Halliburton sand delivery problems may be widespread, analyst says","
 Oilfield service companies are mostly lower after Halliburton (HAL -2.3%) Executive VP and CFO Christopher Weber said the company's Q1 earnings would be reduced by $0.10/share due to delays in deliveries of sand used in fracking. Goldman Sachs analyst Waqar Syed thinks HAL's delivery delays likely are widespread across the industry and Q1 estimates for the entire oil service industry are at risk, although he maintains his view that fundamentals in the business are strong (source:��Briefing.com). But Tudor Pickering Holt's Byron Pope believes the delays will not affect other oilfield services companies, saying ""this feels to me as though it���s more of a Halliburton-specific issue.���SLB +0.1%, WFT -0.5%, BHGE -0.8%, NOV -0.8%, WFT -0.7%, NBR -2.4%, HP -1.2%, PTEN -1.5%, RIG -1.3%, ESV -0.8%, DO -2.5%. ",2018-02-15
27,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous.Payable March 1; for shareholders of record Feb. 12; ex-div Feb. 9. ",2018-02-8
28,Helmerich & Payne downgraded at Bernstein on valuation,"
 Helmerich & Payne (HP +1%) extends recent gains despite receiving a Bernstein downgrade to Market Perform from Outperform after the stock's 76% run-up since August. ���With strong market share gain, a leading position in the Permian, the best ���super-spec��� rig upgrade economics, improving rig rates and tax benefits all modeled in, we think the stock is now fairly valued and requires another structural leg up in oil price for more upside,""��Bernstein analyst Colin Davies writes. Oil prices would need to approach $80/bbl to get constructive on HP again, and even at those price levels additional upside would be modest, Davies says. ",2018-01-29
29,"Baker Hughes price target cut, H&P's raised at Cowen","
 Baker Hughes' (BHGE +1.2%) stock price target is lowered to $50 from $60 by the analyst team at Cowen after sharply underperforming peers in the wake of Q4 results that included negative revisions, lack of free cash flow and continued negative headlines from GE. But the firm says that while moving its estimates ~10% lower it continues to see attractive value that could be unlocked as BHGE begins to demonstrate stronger free cash flow. Meanwhile, Cowen raises its target for Helmerich & Payne (HP +0.1%) to $60 from $50 after the stock outperformed peers following a strong FQ1 beat, as the firm revises its 2018-20 estimates 18%-37% higher on stronger U.S. Land margins.Cowen believes HP's dividend can be sustained and continues to support the stock's rich valuation, but with a lower cash balance than in prior periods, HP could be less defensive in a commodity pullback. Source:��Briefing.com  ",2018-01-26
30,Helmerich & Payne +3% as quarter shows strength in industry's 'sweet spot',"
 Helmerich &��Payne (HP +3.2%) pushes higher after reporting better than expected FQ1 earnings and a 53% Y/Y revenue increase, HP says its contracted U.S. land rig count rose ~4% to 204 by the end of the quarter compared to a slight decline in the industry rig count, with spot pricing continuing to rise by ~4%, resulting in an 11% increase in adjusted average rig margin per day. Q2 revenue days are seen rising 1%-2%  Q/Q, representing a 3%-4% increase in the average number of  active rigs, given the lower number of calendar days during FQ2; average rig revenue per day is seen roughly flat to slightly up vs. FQ1. HP also raises its 2018 capex budget to $350M, up from a previous range of $250M-$300M. Analyzing the results, Bloomberg's Liam Denning says ""HP is in shale's sweet spot,"" citing its ~40% share of active super-spec rigs, which offer more power, can drill longer horizontal wells and move quickly from well to well to speed things up.""Having the rigs that the exploration and production industry needs means you can charge more, [which] came through"" in the quarterly results, Denning writes.  ",2018-01-25
31,"Helmerich & Payne beats by $0.11, beats on revenue","
Helmerich & Payne (NYSE:HP): Q1 EPS of -$0.02 beats by $0.11.Revenue of $564.09M (+53.0% Y/Y) beats by $18.44M.Press Release ",2018-01-25
32,Helmerich & Payne says 2017 was largest-ever ramp up in land rig activity,"
 Helmerich &��Payne (HP +1%) is higher after posting a smaller than expected FQ4 loss and a 60% Y/Y increase in revenues, also better than expected.HP says FY 2017 saw ""the largest ramp up of U.S. land rig activity in the company's history,"" closing the year with 197 rigs running compared with 95 rigs at the start of the year.HP says its U.S. Land segment recorded a $4.2M operating loss in the quarter vs. a $69.7M loss in the year-ago period, its U.S. Land market share rose to 20% from 15% a year ago, and revenue days rose ~6% Q/Q.For FY 2018, HP forecasts capex of $250M-$300M.  ",2017-11-16
33,"Helmerich & Payne beats by $0.05, beats on revenue","
Helmerich & Payne (NYSE:HP): Q4 EPS of -$0.14 beats by $0.05.Revenue of $532.3M (+60.5% Y/Y) beats by $40.64M.Press Release ",2017-11-16
34,Helmerich & Payne goes ex-dividend tomorrow,"
 Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous. Payable Dec. 1; for shareholders of record Nov. 13; ex-div Nov. 10.  ",2017-11-9
35,"Halliburton, Patterson-UTI, C&J top three on Deutsche Bank oil services list","
 Deutsche Bank today initiated coverage on more than 20 oil services stocks, including three stocks it says represent the best long-term investment ideas in the group: Halliburton (NYSE:HAL), Patterson-UTI��Energy (NASDAQ:PTEN) and C&J Energy Services (NYSEMKT:CJ). The firm says the availability of tight U.S. oil supply has changed the cyclical nature of the oil business and made it relatively easy for oil production to quickly adjust to rising prices, thus the top oil services companies will demonstrate innovative business models and specialize in niche technologies. Oil services stocks have been whacked amid persistently low oil prices, but the good news is that Deutsche Bank sees little downside left for the group and does not set a single Sell rating among the stocks covered.Along with HAL, PTEN and CJ, Deutsche Bank rates theses stocks at Buy: SLB, CLB, RIG, WFT, SPN, SND.Rated Hold: BHGE, NOV, HP, RES, OII, ESV, NBR, DO, RDC, FI, FET, NE, PDS, BAS. ",2017-10-10
36,"Land drillers look vulnerable with high valuations, BMO analysts say","
 U.S. land drillers are the high end of their trading range and look vulnerable, according to the analysts at BMO��Capital, who ""recommend selling rallies��� as they see just 10% upside to rig counts at current oil prices. The firm thinks Helmerich &��Payne (NYSE:HP) is clearly the most expensive U.S. driller, while Patterson-UTI��Energy (NASDAQ:PTEN) is the most profitable of the group but still does not merit a Buy rating. BMO believes HP is discounting a U.S. land rig count of at least 1,300 vs. 916 currently, based on a normalized multiple of 6.5x compared with a 5.7x historical average, and estimates HP's rig count needs to increase 15% to ~222 just to cover the dividend and maintenance capex.PTEN is BMO's favorite U.S. land driller, but the firm estimates the shares currently discount a rig count of 1,000-1,100 based a 6x multiple, above the historical average of 4.8x due to PTEN���s improved fleet quality. ",2017-10-4
37,Helmerich & Payne CFO Tardio eyes retirement,"
 Helmerich &��Payne (NYSE:HP) says CFO Juan Pablo Tardio plans to retire in June 2018; the company says it will launch a comprehensive search for CFO candidates.Tardio joined HP in 2000, including the last seven years as CFO. ",2017-09-28
38,"This week's rally in energy stocks could keep going, analysts say","
 Energy stocks just wrapped up their strongest week of 2017 to cap a four-week winning streak, and CNBC reports some portfolio managers think the rally could have more room to run. While U.S. crude oil is ~7% lower this year, the Energy Select Sector ETF (NYSEARCA:XLE) has fallen 12.6%, a fairly large spread that Tortoise Capital's Rob Thummel thinks could mean some catching up is ahead; he notes some of the week's biggest winners were some of the year's biggest losers: RRC -46% YTD, CHK -43%, HP -35%, NFX -33%, APA -33%. The end of this year is starting to look like the final months of 2016, when a weak energy sector surged to become the top performer of the S&P 500, says Tamar Essner of Nasdaq Corporate Solutions. SunTrust's Neal Dingmann notes short interest in the E&P industry is at its highest since late 2015, with OTC:JONE and SN currently more than 30% short. Fundamentals also look promising, says Jay Hatfield of Infrastructure Capital Advisors: economic growth is boosting energy demand; a weaker dollar makes dollar-denominated oil more affordable; and the price gap between Brent crude and WTI has widened, which encourages U.S. oil exports. ETFs: XLE, VDE, ERX, XOP, OIH, GASL, FCG, ERY, DIG, BGR, XES, FENY, DUG, IYE, GUSH, IEO, DRIP, FIF, IEZ, GASX, PXE, NDP, RYE, PXJ, PSCE, FXN, CRAK  ",2017-09-16
39,Helmerich & Payne cut to Sell at Citigroup as dividend cut risk seen,"
 Helmerich & Payne (HP -2.1%) is downgraded to Sell from Hold with a $43 stock target, cut from $58, at Citigroup, which sees a risk of a dividend cut since the company is likely to fall well short of consensus EBITDA expectations in a declining rig count environment. HP shares have slumped ~6% following Q2 results and management comments in the earnings conference call indicating the company would not raise debt to support the dividend amid elevated capex, even as demand for rigs in the U.S. appears to be declining; Citi believes HP's 5.3% yield does not fully reflect the downside risk.  ",2017-07-28
40,"Helmerich & Payne beats by $0.05, beats on revenue","
Helmerich & Payne (NYSE:HP): Q3 EPS of -$0.25 beats by $0.05.Revenue of $499M (+74.6% Y/Y) beats by $41.53M.Press Release ",2017-07-27
41,"""Prolonged stagnation"" for oil prices prompts three Wells Fargo downgrades","
 Oilfield services stocks Helmerich &��Payne (HP -1.3%), Nabors Industries (NBR -5.1%) and Oil States (OIS -1.1%) are downgraded at Wells Fargo, which believes rising U.S. production raises the odds of a ���prolonged stagnation��� in oil prices that will hurt energy firms��� spending outlooks over the next few years. Wells lowers its outlook for international spending and margins and forecasts a growing disparity in the U.S. between rig count and stage count beginning in H217.In addition to downgrading��HP��to Underperform from Market Perform with a $45 price target, cut from $62.50, and NBR and OIS to Market Perform from Outperform, the firm says it is shifting more North American-leveraged small- and mid-caps up its oilfield services rankings, such as RPC��Corp. (RES -2.2%), U.S. Silica (SLCA -9.5%) and Select Energy Services (WTTR -1.8%). ",2017-07-7
42,"Eight oil services stocks cut, Hi-Crush Partners new Best Idea at Guggenheim","
 Guggenheim analysts downgrade eight oil services companies as they cut their 2017 oil price forecast to $48/bbl from $55, saying they do not expect a recovery until H2 2018. But even as the firm cuts Baker Hughes (BHI), Forum Energy Technologies (NYSE:FET), Fairmount Santrol (NYSE:FMSA), Halliburton (NYSE:HAL), Helmerich &��Payne (NYSE:HP), Nabors Industries (NYSE:NBR), Schlumberger (NYSE:SLB) and Superior Energy Services (NYSE:SPN) to Neutral from Buy, the firm finds Hi-Crush Partners (NYSE:HCLP) worthy enough to add to its Best Ideas List. In highlighting HCLP, Guggenheim cites a strong, fundamental backdrop for frac sand; the addition of dedicated Permian basin cash flows; the company���s commitment to re-instating distributions before year-end (it currently trades at a 12% yield to expected 2018 distributions); and valuation. The firm recommends focusing on ""relative value and cash return until growth reaccelerates"" in H2 2018,"" and it says stocks that fit the bill include HCLP, U.S. Silica (NYSE:SLCA), Weatherford (NYSE:WFT), Patterson-UTI��Energy (NASDAQ:PTEN) and TechnipFMC (NYSE:FTI). ",2017-06-27
43,"It's downgrade-palooza at Seaport, cutting 50-plus energy-related stocks","
 Seaport Global Securities downgrades no fewer than 51 energy-related stocks, warning that $40/bbl oil will keep supply/demand balances in check compared to its previous assumption of $50/bbl oil. The firm thinks the industry���s current trajectory, if left unchecked, will result in an oil market that is as much as 2.2M bbl/day oversupplied in 2018 and only getting worse through 2020.""Something has to give, and first and foremost we think it���s further downside to the price of crude,""��Seaport analysts say, envisioning oil revisiting the $20s early next year and averaging $35/bbl in H1 2018.Downgraded to Sell: APA, AREX, BBG, CIR, CLR, CRZO, DO, EGN, ESV, FI, HP, MRO, NBL, NFX, OII, RDC, SN, WLL, WPX, XECCut to Neutral: AXAS, BAS, BHI, CPE, CXO, DOV, DVN, ECR, ESES, ESTE, FTI, GST, HAL, HK, OTC:JONE, KEG LONE, LPI, NBR, NE, OAS, PDCE, PES, PQ, PTEN, RES, SD, SM, SNDE, SPN, TWIN, WFT ",2017-06-21
44,Morgan Stanley downgrades oil services as bear case odds rise,"
 Morgan Stanley lowers its outlook for the oil services industry to In-Line, citing increasing odds of a bear case scenario that sees 30%-50% downside to historical  valuation support. ""It is now consensus that global oil markets will swing into surplus in 2018, and the burden of proof that this will not happen lies with the bulls,"" Stanley analyst Ole Slorer writes, as he expects the sector to be out of favor until more material bullish data points emerge.The firm downgrades Helmerich & Payne (NYSE:HP), Oceaneering (NYSE:OII) and Frank's International (NYSE:FI) to Underweight from Equal Weight, and cuts Oil States (NYSE:OIS), Precision Drilling (NYSE:PDS), Nabors Industries (NYSE:NBR), Superior Energy (NYSE:SPN) and Independence Contract Drilling (NYSE:ICD) to Equal Weight from Overweight.Trican Well Services (OTCPK:TOLWF) is upgraded to Overweight; rating on Tidewater (NYSE:TDW) and Hornbeck Offshore (NYSE:HOS) are removed due to restructuring concerns.Source:��Bloomberg First Word  ",2017-06-21
45,Oil drillers face retrenchment possibility as crude continues lower,"
 Fracking service providers may be hit especially hard if oil prices fall any further, if E&P companies borrow a tactic from last year���s slump in saving money by doing the initial drilling but not the final frack jobs that complete wells. Analysts and company officials say a drop to $40/bbl oil could halt rig growth for smaller drillers in less active U.S. shale basins, and undercut efforts by fracking service providers such as Halliburton (NYSE:HAL) and Patterson-UTI (NASDAQ:PTEN) to raise their fees. Oil at $45/bbl ���slows most U.S. shale plays"" - including the Bakken, gassier parts of Eagle Ford and the Niobrara - and under $40, the SCOOP play in Oklahoma and even the Delaware and Wolfcamp formations in the prolific Permian Basin start losing money, UBS analysts say. Oil and gas companies should consider cutting their growth forecasts now but probably will not, Mizuho���s Tim Rezvan says, since 2017 production is largely locked in with new drilling rigs in place, but companies may discuss possible reductions to 2018 estimates when they report Q2 earnings.Other relevant tickers include SLB, BHI, NOV, SPN, RES, HP, FRAC, FET, DRQ ",2017-06-14
46,Oceaneering wins 10-year ROV contract in Canada,"
 Oceaneering (OII -4.9%) reaches an agreement with an unnamed ""major international oil and gas company"" to provide remotely operated vehicle services and equipment for projects located offshore of Newfoundland and Labrador in Canada.OII says the scope of work under the agreement includes subsea construction, inspection,  maintenance and repair services on existing and future infrastructure.Despite the news, OII trades sharply lower along with other oil services stocks amid widespread losses among oil and gas equities: SLB -3.1%, HAL -4.6%, BHI -2.6%, NOV -4.8%, HP -3.7%, PTEN -4.7%, RES -4.5%, NBR -9%, MDR -1.4%, SPN -9.1%, FRAC -2.3%, FET -3.8%, PDS -5.3%, HLX -7.5%.  ",2017-05-25
47,Helmerich & Payne -5% as Goldman cuts to Sell,"
 Helmerich & Payne (HP -5.2%) plunges after Goldman Sachs downgrades shares to Sell from Neutral with a $45 price target, slashed from $63, saying the stock's valuation and consensus estimates have downside risk amid a likely flattening of the U.S. land rig count over the coming months.Goldman expects dayrates to peak at ~$20K/day, which likely would drive consensus estimates lower, according to TheFly.com.The firm continues to recommend Halliburton (HAL -0.2%), ProPetro Holding (PUMP +1%) and U.S. Silica (SLCA -1.9%) with Buy ratings, but cuts its price target for HAL to $56 from $61 as well as Nabors Industries (NBR -1.5%) to $15.25 from $17.50, Schlumberger (SLB +0.1%) to $87 from $90, and Weatherford (WFT +0.7%) to $5 from $6.50. ",2017-05-23
48,Helmerich & Payne buys directional drilling tech firm for as much as $100M,"
 Helmerich & Payne (NYSE:HP) agrees to acquire MOTIVE Drilling Technologies for $75M payable at closing and up to an additional $25M in potential earnout payments based on future performance during the next few years. HP says MOTIVE���s proprietary Bit Guidance System is the industry leader in the use of cognitive computing to guide the directional drilling process.  ",2017-05-22
49,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous.Payable June 1; for shareholders of record May 19; ex-div May 17. ",2017-05-16
50,U.S. Supreme Court sides with Venezuela in Helmerich & Payne's rigs claim,"
 Helmerich &��Payne (HP -2.5%) is lower after the U.S. Supreme Court rules in favor of Venezuela's government in an 8-0 vote, throwing out a 2015 decision by the U.S. Court of Appeals for the D.C.  Circuit. The lower court had ruled in 2015 that HP could sue Venezuela over the seizure of 11 drilling rigs in 2010 but allowed the business another chance to press its claims. The justices said the appeals court wrongly allowed claims to move forward merely because a company had presented a ""non-frivolous"" case against a foreign government. ",2017-05-1
51,"Helmerich & Payne misses by $0.07, beats on revenue","
Helmerich & Payne (NYSE:HP): Q2 EPS of -$0.47 misses by $0.07.Revenue of $405M (+13.1% Y/Y) beats by $3.35M.Press Release ",2017-04-27
52,11 stocks that make the quantamental cut,"
 Bernstein recommends 11 stocks that score high on its quantamental model (fundamental analysis + algorithm testing) and aren't considered a ""crowded"" trade. ""We found that integrated and disciplined strategies combining the two techniques produce better results than either method alone,"" reads the firm's note. The Bernstein quantamental portfolio doubled the return of the S&P 500 Index over a six month period ending in mid-March. The 11 stocks making the quantamental cut at Bernstein are Delta Air Lines (NYSE:DAL), American Express (NYSE:AXP), Hewlett Packard Enterprises (NYSE:HPE), Marriott International (NYSE:MAR), Southwest Airlines (NYSE:LUV), HP Inc. (NYSE:HP), Synchrony Financial (NYSE:SYF), Yum Brands (NYSE:YUM), Motorola Solutions (NYSE:MSI) and Centene (NYSE:CNC).  ",2017-03-30
53,Helmerich & Payne upgraded to Buy at BofA as pricing power expected,"
 Helmerich &��Payne (HP -1.3%) is upgraded to Buy from Neutral with an $82 price target at BofA Merrill Lynch, which sees land rig pricing power improving due to a rising U.S. land rig count and increased E&P capex plans.HP is particularly well positioned to benefit from greater utilization  and pricing, BofA says, expecting ""a relative oligopoly to ensure pricing power  to justify rig upgrades.���The firm says HP has a greater than 30% high-spec market share, and may grow its share or contain supply ���somewhat��� to support prices.  ",2017-02-24
54,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous.Payable March 1; for shareholders of record Feb. 13; ex-div Feb. 9. ",2017-02-8
55,"Helmerich & Payne beats by $0.03, beats on revenue","
Helmerich & Payne (NYSE:HP): FQ1 EPS of -$0.33 beats by $0.03.Revenue of $369M (-19.6% Y/Y) beats by $33.9M.Press Release ",2017-01-26
56,"Bloomberg: Lots of lost oil jobs will not return, as robots take over rigs","
 A third to a half of the 440K energy sector jobs lost in the global oil industry collapse may never come back, as a combination of more efficient drilling rigs and increased automation is reducing the need for field hands, which will hamper Pres. Trump's promises for a flood of new energy sector jobs, according to a Bloomberg report. Rigs have become so much more efficient that the shale industry can use about half as many as it did at the height of the boom in 2014 to amass the same oil output; for example, Nabors Industries (NYSE:NBR), the world���s largest onshore driller, says it expects to cut the number of workers at each well site eventually��to about five from 20 by deploying more automated drilling rigs. Companies were too busy pumping oil and gas to worry about head count during the boom, the downturn gave them time to rethink the mix of human labor and automated machinery in the oil fields, says Evercore ISI's James West.Relevant tickers include SLB, HAL, BHI, NOV, FTI, RIG, NE, ATW, DO, RDC, ESV, HP, PTEN, SDRL. ",2017-01-24
