,news_title,news_dates,news_details
10,SoftBank/Didi Chuxing taxi-hailing service expanding in Japan,"Wed, Apr. 24, 1:13 AM","
 The taxi-hailing joint venture between SoftBank Group's (OTCPK:SFTBY) SoftBank Corp. and China's Didi Chuxing (DIDI) is expanding its service to 13 Japanese cities. The service launched in September in tourism target Osaka; it's expanding into Tokyo and Kyoto Wednesday, with another 10 locations to follow this financial year. With ride-hailing effectively banned in Japan (blunting a SoftBank advantage), apps to match taxis with riders are hotly competitive, with rivalry provided by companies backed by Sony (NYSE:SNE) and Toyota (NYSE:TM). But SoftBank is pursuing synergies among portfolio companies: Users can access the taxi-hailing service via Yahoo Japan's route-finding app, and pay with PayPay, which uses technology from Paytm.  "
11,March videogame sales fall by double digits; Quarter trails last year's,"Tue, Apr. 23, 6:33 PM","
 Videogame sales declined broadly in March, leading the first-quarter numbers to dip Y/Y compared with the same quarter a year ago. After a February rebound, overall sales dropped 11% to $1.2B in March, according to NPD Group. Software sales fell 11% to $547M, hardware sales fell 15% to $282M, and accessories and game cards dropped 7% to $349M. That brings overall first-quarter spending to $3.2B, down 2% Y/Y, with hardware providing the anchor as the industry awaits a new refresh cycle. Q1 hardware spending fell 13% to $759M. The Nintendo Switch (OTCPK:NTDOY) was the leading hardware platform in both unit and dollar sales, both in March and for Q1, analyst Mat Piscatella notes. Gamepads were the bright spot in accessory spending, up single digits, and while accessory/game card spending fell for the month, it's up 2% for the quarter. In software in March, Tom Clancy's The Division 2 (OTCPK:UBSFY) topped the dollar sales chart, followed by Sekiro: Shadows Die Twice (NASDAQ:ATVI) and MLB 19: The Show (NYSE:SNE). Rounding out the software top 10: No. 4, Devil May Cry 5 (OTCPK:CCOEY); No. 5, Super Smash Bros. Ultimate (OTCPK:NTDOY); No. 6, Red Dead Redemption 2 (NASDAQ:TTWO); No. 7, NBA 2K19 (TTWO); No. 8, Grand Theft Auto V (TTWO); No. 9, Yoshi's Crafted World (OTCPK:NTDOY); No. 10, Call of Duty: Block Ops 4 (ATVI). Related tickers with after-hours moves: OTCPK:NTDOY, SNE, MSFT, EA -0.1%, ATVI +0.2%, TTWO +0.1%, OTCPK:UBSFY, OTC:NCBDY, OTCPK:SQNNY, OTCPK:CCOEY. Retail stock: GME +0.5%. ETFs: GAMR +0.7%, ESPO +1%  "
12,Wired report on Sony's next-gen console rattles videogame sector,"Tue, Apr. 16, 11:08 AM","
 Videogame-related stocks are on watch after a Wired exclusive story on Sony's (SNE +0.9%) nex-gen PlayStation indicates that the new console won't be arriving in stores in 2019. The extended release timeframe means some videogame spending could be delayed until the console arrives. Of interest to gamers, Wired's digging says the PlayStation 5 (expected name) will feature a CPU based on the third generation of AMD's Ryzen line and contains eight cores of the new 7nm Zen 2 microarchitecture. The PS5 won't be a cloud-only console and will still be backwards compatible with games for the PS4. Of interest to investors, Activision Blizzard (ATVI -1.6%), Take-Two Interactive (TTWO -2.3%) and Electronics Arts (EA -3.8%) are all lower on the day, while GameStop (GME +0.9%) is showing a gain.  "
13,AMD +2.4% as Sony teases PlayStation 5,"Tue, Apr. 16, 10:16 AM","
Sony (SNE +1.2%) previews the PlayStation 5 in an interview with Wired and the next-gen console will support 8K graphics, 3D audio, and is backward compatible with PlayStation 4 games.The new hardware includes an eight-core CPU based on AMD's (NASDAQ:AMD) third-gen Ryzen line and a custom GPU based on AMD's Radeon Navi hardware, reiterating an earlier Digitimes report on AMD's 7nm processors and the next-gen PlayStation.Sony didn't provide a release date but said it wouldn't release this year. Digitimes suggested AMD's chips would be ready by Q3 2020 for the console's H2 2020 release.AMD shares are up 2.4% to $27.94. "
14,Jefferies boosts Sony to Buy,"Mon, Apr. 15, 9:55 AM","
 Jefferies has upgraded Sony (NYSE:SNE) to Buy from Hold. Analyst Atul Goyal raised the firm's price target on Sony's ADRs to $58 from $50.70, implying 23.4% upside from a current $47.01. Sony's set to report earnings April 26; it's expected to record EPS of $0.24 on revenues of $18.3B.  "
15,EU targets $12B of U.S. goods in Boeing-Airbus dispute - Bloomberg,"Fri, Apr. 12, 12:34 PM","
The European Union is considering imposing retaliatory tariffs on €10.2B ($11.5B) of U.S. goods in a dispute over subsidies to Boeing (BA +2.2%), Bloomberg reports.The plan follows a U.S. threat to target $11B of European goods with import duties to counter state aid to Airbus (OTCPK:EADSY +1.2%).The European Commission outlined its retaliation plan to trade experts from the bloc's national governments today in Brussels, according to the report.CAT, DE, HOG, SNE are among many potentially relevant stocks.ETFs: VGK, HEDJ, FEZ, EZU, IEV, EPV, IEUR, EURL, FEU, DBEU, HEZU, EEA, FEP, UPV "
16,Sony chatter debates spin-off of entertainment business,"Tue, Apr. 9, 4:51 PM","
 Conflicting chatter is springing up around whether Sony (NYSE:SNE) would consider letting go of its motion picture unit. After a Reuters report yesterday that Daniel Loeb's Third Point was starting to raise funds with an aim to build an activist stake and again push for strategic options, the New York Post reported chatter that Amazon.com's (NASDAQ:AMZN) Jeff Bezos personally reached out to express interest in buying Sony Pictures, but discussions between the two ended fruitless. Meanwhile, CNBC's David Faber contradicts that, saying Sony's had no talks whatsoever about its U.S. entertainment unit. And JPMorgan says spinning off entertainment may not create the value that Loeb hopes, considering that the electronics business still faces competition and has a lack of competitive advantages. The firm says investors should wait for a better entry, when consensus figures are likely to be revised down.  "
17,Asymmetric sees chance to short Sony in Third Point moves,"Tue, Apr. 9, 9:42 AM","
 Asymmetric Advisors is looking to Third Point's new activism on Sony (NYSE:SNE) as a chance to get short on the tech conglomerate. Daniel Loeb's firm is reportedly raising a dedicated vehicle of $500B-$1B in capital to buy Sony shares and push for changing up business units (particularly movies, semiconductors and insurance). When Third Point tried to force Sony's sale of content businesses five years ago, Asymmetric's Amir Anvarzadeh wasn't on board. But this time, ""selling at least its movie business is not a bad idea,” he writes. (h/t Bloomberg) If there's a rally based on Third Point's involvement, “we don’t plan to miss another opportunity to short the name” ahead of earnings,"" he says. The company reports April 26 and Anvarzadeh sees heavy risk in guidance.  "
18,Sony +7% on report Third Point building stake to push for change,"Mon, Apr. 8, 10:12 AM","
 Sony (NYSE:SNE) has spiked 7% as Reuters reports that Daniel Loeb's Third Point is (again) building an activist stake in the company. Third Point's stake is yet unknown, but the report says it's raising a dedicated vehicle targeting $500M-$1B in capital to buy more Sony shares. The hedge fund would like the multinational conglomerate to look at options for some business units, including a Columbia movie studio that's attracted takeover interest from the likes of Amazon.com (NASDAQ:AMZN) and Netflix (NASDAQ:NFLX). It would also seek more clarity on how semiconductors and insurance fit with the rest of the company.  "
19,Report: Sony talks for stake in India's Zee break down,"Tue, Apr. 2, 9:51 AM","
 Sony (NYSE:SNE) is 1.4% lower this morning after a report that talks have broken down around the company taking a stake in India's Zee Entertainment. CNBC-TV18 reports that the discussions have faltered between Sony and Essel Group, which is selling the stake. Sony and Comcast (CMCSA +0.1%) were reportedly in the bidding for the stake at about a 24% premium. Zee is available through a TV presence across 117 countries.  "
20,Nikkei: Sony to slash up to half of smartphone workforce,"Fri, Mar. 29, 9:43 AM","
 Sony (SNE -0.3%) is responding to the smartphone downturn with plans to slash up to half its phone workforce, Nikkei reports. Share is sliding in a market expected to decline for the third straight year, to less than 1% of the market from about 3% in 2010. Its fiscal 2018 smartphone sales are expected to come in down 50% to 6.5M units. It will offer voluntary retirement in Europe and China operations while some Japanese employees will be transferred to other divisions, according to the report, and the company will limit smartphone sales in Southeast Asia and other areas to focus on Europe and East Asia. The smartphone business is the only money-losing unit left at the company, which sold off its PC line previously.  "
21,Chicken Soup for the Soul jumps on Crackle deal,"Thu, Mar. 28, 6:08 PM","
 Chicken Soup for the Soul Entertainment (NASDAQ:CSSE) is up 13.6% after hours following news that it's buying a majority of Sony's (NYSE:SNE) stake in Crackle. The two companies will establish a streaming joint venture, Crackle Plus, that is expected to include CSSE's six ad-supported video on demand networks (including Popcornflix, Truli, Frightpix and Espanolflix) as well as subscription VOD site Pivotshare. That venture would have a combined audience of 10M monthly active users, along with 38,500 hours of programming. CSSE would own a majority interest in the JV, while Sony will get 4M five-year warrants to buy CSSE stock. SNE is 0.2% lower after hours.  "
22,Sony aims to revamp smartphone unit with move to Thailand,"Thu, Mar. 28, 5:42 AM","
Looking to turn around the loss-making business, Sony (NYSE:SNE) is closing its smartphone plant in Beijingand will shift production to Thailand.It hopes the move will halve costs and make the division profitable in the year from April 2020.Sony's smartphone business was one of the few weak spots in its otherwise robust earnings, bracing for a loss of ¥95B ($863M) for this financial year. "
23,ITC finds Fujifilm infringed Sony's magnetic tape patents,"Mon, Mar. 25, 5:34 PM","
 Sony (NYSE:SNE) has won a round at the International Trade Commission in a long-running dispute over magnetic tape storage. The ITC says Fujifilm (OTCPK:FUJIY) infringed on two Sony patents and has recommended an import ban on some of its magnetic tape cartridges, Bloomberg reports. That now heads to the Trump administration, which could overturn it on policy grounds. Last year, the body issued an import ban against Sony's storage tapes, though Sony says it has designed around Fujifilm's patents in the case. After hours: SNE +0.4%.  "
24,Spotify starts licensing talks with music rights owners: FT,"Fri, Mar. 22, 4:24 AM","
Spotify (NYSE:SPOT) is in early stages of high-stakes licensing talks with music rights owners that will affect its profit margins for years to come, the Financial Times reports, citing people familiar with the matter.The streaming service must reach deals with Vivendi (OTCPK:VIVEF)-owned Universal Music, Sony (NYSE:SNE) Music, and Warner Music, which together control about two-thirds of Spotify's catalogue.Rather than draft up new deals, the sides could also extend their current arrangements for another year.The negotiations start as Spotify appeals a U.S. court ruling that would give songwriters a big pay raise from music played on its platform.Previously: Rhetoric heats up between Apple and Spotify (March 15) "
25,Jefferies pulls Sony from Top Picks on phone stubbornness,"Wed, Mar. 20, 9:23 AM","
 Sony (NYSE:SNE) -- already facing pressure in Tokyo after Google announced its console-free entry into cloud gaming -- is down 3.2% premarket on NYSE as Jefferies cuts it from its Top Picks after a five-year run. The firm downgraded to Hold and took Sony to task for stubbornness in sticking with its smartphone business -- ""a disappointment and a strategic mistake,"" says analyst Atul Goyal. That mistake is ""resulting in continued losses, a peak of game profits and increasing uncertainty"" over the coming two years. (h/t Bloomberg) The firm cut its price target on U.S.-listed shares to $50.70 from $77.62, implying just 11.4% upside.  "
26,Console makers slide on Google gaming plans,"Wed, Mar. 20, 4:34 AM","
Investors are reacting to Google's announcement overnight that it would push into the $135B gaming industry with a cloud-based offering, bypassing the need for traditional hardware.Shares in Japanese console makers dropped, with Nintendo (OTCPK:NTDOY) falling 3.2% and Sony (NYSE:SNE) sinking 3.4% in Tokyo.Google CEO Sundar Pichai said ""Stadia"" will be launched this year in the U.S., Canada, the U.K. and ""most of Europe."" "
27,Videogame sales return to growth with 4% February gain,"Tue, Mar. 19, 6:51 PM","
 A solid month in software and accessories lifted videogame sales to 4% year-over-year growth in February, a rebound after January's sales dipped with broad spending declines. Overall sales came to $1.05B, according to NPD Group. Hardware sales fell 12%, to $277M. But software sales jumped 15%, to $457M, and accessories/game cards rose 6% to $313M. Considering January's drop, year-to-date spending is up 3% Y/Y to just under $2B. The best-selling hardware platform was the Nintendo Switch (OTCPK:NTDOY), which marked the company's best February in hardware dollar sales since 2011. Gamepad spending was the driver of sales in accessories/game cards, and Nintendo gamepad sales were up 80% (and are now up 90% YTD). In software, Anthem (NASDAQ:EA) marked its launch by topping the dollar sales charts with the second-best launch month for a BioWare title (behind 2012's Mass Effect 3), analyst Mat Piscatella notes. It was followed up by Jump Force (OTC:NCBDY), Kingdom Hearts III (OTCPK:SQNNY), and Far Cry New Dawn (OTCPK:UBSFY). Rounding out the software top 10 in dollar sales: No. 5, Red Dead Redemption 2 (NASDAQ:TTWO); No. 6, Resident Evil 2 2019 (OTCPK:CCOEY); No. 7, Super Smash Bros. Ultimate (OTCPK:NTDOY); No. 8, Metro: Exodus (Deep Silver); No. 9, NBA 2K19 (TTWO); No. 10, Call of Duty: Black Ops 4 (NASDAQ:ATVI). Related tickers with after-hours moves: OTCPK:NTDOY, SNE +1.6%, MSFT -0.4%, EA -0.1%, ATVI +0.3%, TTWO, OTCPK:UBSFY, OTC:NCBDY, OTCPK:SQNNY, OTCPK:CCOEY. Retail stock: GME -0.2%. ETFs: GAMR, ESPO  "
28,Google announces game-platform offering Stadia (updated),"Tue, Mar. 19, 1:18 PM","
 Google (GOOG, GOOGL) has unveiled its new gaming effort: Stadia, a platform that promises unifying the experience of playing, watching and building games. Speaking at the Game Developers Conference, CEO Sundar Pichai (who's ""actually not a big gamer, but I do play FIFA 19 quite a bit"") introduces ""our next big effort, which is to build a game platform for everyone."" Google's Phil Harrison says ""There's a universe of people who love playing games, and there's a universe of people who love watching games,"" but those are fragmented universes, he says. The suggestion is that YouTube will serve as the spectator platform a la Twitch. The company now has the ability to take a sophisticated game like Assassin's Creed Odyssey (which was the subject of last fall's Project Stream test) and offer it via the cloud as quickly as five seconds, Harrison says. Updated: Harrison says Stadia can be enjoyed across any screen at launch: desktops, laptops, TV, tablets and phones. 1:21 p.m.: A demo shows moving the same game of Assassin's Creed Odyssey from platform to platform with very low latency and no console required. 1:26 p.m.: Google's Majd Bakar notes that the Project Stream test successfully streamed at 1080p resolution and 60 frames per second. At Stadia launch, he says it will offer 4K resolution at 60 frames per second with HDR and surround sound, and notes future plans to offer 8K resolution at 120 frames per second -- all via the stream. 1:28 p.m.: The Stadia solution will offer 10.7 teraflops of GPU power, Bakar says -- vs. 6.0 for Xbox One X (NASDAQ:MSFT) and 4.2 for PlayStation 4 Pro (NYSE:SNE), more than the two consoles combined. 1:56 p.m.: Development hardware has gone out to more than 100 shops, Harrison says, and more than 1,000 creatives are working with it to build something for the platform already. But it also has an in-house effort: Stadia Games & Entertainment will serve as Google's first-party game studio for the project. 2 p.m.: Wrapping up, Harrison says Stadia is launching this year in the United States, Canada, the UK and most of Europe.  "
29,Take-Two -4% as Sony dampens buyout speculation,"Thu, Mar. 14, 9:11 AM","
 Take-Two Interactive Software (NASDAQ:TTWO) is 4% lower premarket after Sony (NYSE:SNE) denies speculation that it's looking at an acquisition of the videogame maker, throwing cold water on a few days' rally. There's ""no truth"" to reports about buying Take-Two, Sony's Hirotaka Fukushima tells Bloomberg. Sony is 0.7% lower premarket. TTWO finished yesterday's session 6.9% higher.  "
30,Take-Two rallies on with 5% gains amid Sony chatter,"Wed, Mar. 13, 1:30 PM","
 With traders jawing about a potential takeover by Sony (SNE +1%), Take-Two Interactive Software (NASDAQ:TTWO) has added to a three-day rally with gains of 5.4% today. Take-Two has been the subject of merger/acquisition speculation at numerous times in the past few years. A higher close today would be the company's fourth straight higher finish; shares are 8.8% higher so far this week. That's a comfortable rebound for longs who have endured a 31.2% drop over the past six months, a tough season for some sector participants.  "
31,"AT&T confirms DirecTV Now changes; Viacom, Discovery, AMC tumble","Wed, Mar. 13, 11:26 AM","
 AT&T (T -1%) has confirmed heavy changes to its DirecTV Now streaming service, The Verge notes, with added HBO but higher prices and the removal of several popular channels for new subscribers. The company announced yesterday it was readying two bundles for launch at $50/month and $70/month. But the $50 plan is now the most expensive base plan of the five rivals in the streaming live TV space (which includes Hulu with Live TV, PlayStation Vue (SNE +1%), Sling TV (DISH -0.3%) and YouTube TV (GOOG +0.4%, GOOGL +0.7%)). And while the company's adding HBO to the new plans, it's dropping channels from AMC Networks (AMCX -3.3%), Viacom (VIA -1.4%, VIAB -2.2%) and Discovery (DISCA -2.3%), including HGTV, A&E, MTV, TLC and Nickelodeon, among others. Shares in those companies are dropping quickly. Existing customers will be able to keep their current plans, but those with HBO will need to pay $15/month now rather than $5/month, a move that will serve to push them to one of the two new offerings. Of the five streaming-live TV rivals, only Sling continues to offer the Viacom networks.Hulu, for now, is co-owned by Disney (NYSE:DIS), Comcast (NASDAQ:CMCSA), Fox (FOX, FOXA) and AT&T's WarnerMedia.  "
32,"Sky, studios settle European antitrust issue over pay TV","Thu, Mar. 7, 2:08 PM","
 Several U.S. movie studios and Sky Broadcasting have a happy outcome in a European antitrust probe, with a settlement that ends an investigation of pay TV contracts. NBCUniversal and Sky (CMCSA -0.3%), along with Disney (DIS -0.8%), Warner Bros. (T +0.7%) and Sony (SNE -2.3%), all avoided fines by committing to allow EU consumers outside of Britain and Ireland to access films by satellite or online. ""Geoblocking"" practices are illegal under EU competition rules, and the companies' promises satisfy the European Commission. Sky's contracts required film studios to ensure moveis aren't available on rival pay services in Britain and Ireland, but the broadcaster says it won't apply those clauses any longer. That brings this scrutiny of Sky UK to an end, but similar contracts are still under EU examination at Canal Plus (VIVHY -0.9%), Sky Italia, Sky Deutschland and DTS.  "
33,Devices unveiled at Mobile World Congress,"Mon, Feb. 25, 4:20 AM","
The Mobile World Congress has officially kicked off in Barcelona.Grabbing some attention are Huawei's foldable smartphone, called the Mate X, priced at about $2,600, as well as Sony's (NYSE:SNE) new flagship device, the cinematic Xperia 1, and a 5G dual-screen phone from LG.Microsoft (NASDAQ:MSFT) also unveiled the latest version of its HoloLens headset, promising more comfortability and immersive mixed reality experience. "
34,"Videogame sales -19% in January, with Switch a bright spot","Wed, Feb. 20, 12:41 PM","
 Adding to recent videogame stock doldrums, industry sales tracked by NPD Group fell 19% Y/Y in January. That's a bit of a pullback after videogames' best December in four years. Overall sales fell to $893M from $1.1B a year ago, according to the firm, with broad spending declines. Hardware dropped 28% to $199M; software spending fell 18% to $427M; and accessories and game cards dropped 12% to $267M. The best-selling hardware platform in dollar and unit terms for January was the Nintendo Switch (NTDOY +0.7%). It was the only console platform to grow year-over-year, analyst Mat Piscatella notes. Minor gains in gamepad spending were offset by drops across other accessories and game cards. Meanwhile, Switch software grew by double digits but was offset by heavy declines across all other platforms. The dollar sales chart was topped by a few new releases, led by Kingdom Hearts III (OTCPK:SQNNY), followed by Resident Evil 2 (CCOEY -0.1%) and New Super Mario Bros. U Deluxe (OTCPK:NTDOY). Those three came in ahead of fourth-ranked Call of Duty: Black Ops 4 (ATVI -2.1%). Rounding out the software top 10: No. 5, Super Smash Bros. Ultimate (OTCPK:NTDOY); No. 6, Red Dead Redemption 2 (TTWO -4.8%); No. 7, Ace Combat 7: Skies Unknown (OTC:NCBDY); No. 8, NBA 2K19 (NASDAQ:TTWO); No. 9, Mario Kart 8 (OTCPK:NTDOY); No. 10, Grand Theft Auto V (TTWO). Related tickers: MSFT -1.2%, SNE +1.2%, EA -4.1%, OTCPK:UBSFY -0.9%. Retail stock: GME +0.4%. ETFs: GAMR -0.3%, ESPO +0.3%.  "
35,IMAX +3% on M&A speculation,"Wed, Feb. 20, 9:41 AM","
 Shares of IMAX (NYSE:IMAX) open with a 2.75% gain after MKM Partners says the premium theater company could be worth as much as $32 per share in a takeover. Analyst Eric Handler sees Sony (NYSE:SNE) as a logical acquirer of IMAX. MKM Partners has a Buy rating on IMAX and price target of $27.  "
36,"Diller: Hollywood 'irrelevant,' and Netflix has won the game","Tue, Feb. 19, 12:39 PM","
 Media mogul (and now tech mogul) Barry Diller weighs in on the media-industry topic du jour -- whether we've now reached a tipping point of power in the streaming evolution: ""Hollywood is now irrelevant."" Speaking to Kara Swisher on a Recode podcast, Diller suggests the reign at the top has ended for the classic big six movie studios -- Twenty-First Century Fox (FOX +0.2%, FOXA +0.2%), Paramount (VIA +0.4%, VIAB), Warner Bros. (NYSE:T), Disney (DIS +0.9%), Columbia (SNE +0.8%) and Universal (NASDAQ:CMCSA). “It was these six movie companies essentially were able to extend their hegemony into everything else. It didn’t matter that they started it,"" Diller says. ""When it got big enough, they got to buy it. For the first time, they ain’t buying anything. Meaning they’re not buying Netflix (NFLX +1.5%). They are not buying Amazon (AMZN +1.4%).” As for Disney's big plans for Disney Plus, the company will be ""OK in streaming,"" but ""those who chase Netflix are fools."" ""Short of some existential event, it is Netflix’s,"" he says. ""No one can get, I believe, to their level of subscribers, which gives them real dominance.”  "
37,"Report: Sony, Comcast bidding on Zee stake in India","Thu, Feb. 14, 11:44 AM","
 Essel Group promoters are in the U.S. to discuss selling most of Essel's stake in India's Zee Entertainment, CNBC-TV18 reports. Sony (SNE +0.3%) and Comcast (CMCSA +0.4%) are in the discussions, according to the report. The two multinationals were linked to talks of taking a Zee stake last month. Their bidding is coming at about a 24% premium. Zee is available through a TV presence across 117 countries.  "
38,Sony replaces PlayStation chief,"Tue, Feb. 12, 5:13 AM","
With upcoming challenges in mobile gaming, PC-based e-sports and streaming, Sony (NYSE:SNE) is shaking up is flagship games division by appointing Jim Ryan, its London-based deputy president, as PlayStation chief.""This industry is relentlessly fast moving, and to remain the market leader, we must constantly evolve ourselves with a sense of urgency,"" Sony CEO Kenichiro Yoshida said in a statement. "
39,Sony +2% after hours on $911M buyback plans,"Thu, Feb. 7, 6:49 PM","
 Sony ADRs (NYSE:SNE), previously down in the after-hours session, are up 2% after the company says it will buy back up to 2.36% of its shares, its first repurchase in nearly 16 years. That's a buyback of up to ¥100B, or about $911M. Sony will buy back up to 30M shares between Feb. 12 and March 22, it says in a Tokyo Stock Exchange release.  "
