,news_title,news_dates,news_details
10,Intel's weak forecast dings semis,"Thu, May 9, 11:46 AM","
The Philadelphia Semiconductor Index is down 2.7% compared to the 1.9% for tech sector (NYSEARCA:XLK) drop on a combination of US-China trade tensions and Intel's (NASDAQ:INTC) weak long-term guidance during yesterday's investor event.Intel had previously cut its FY19 outlook, helping dampen hopes of an H2 semi recovery. Yesterday, INTC guided three-year revenue growth in the low single digits with flat PC sales offsetting double-digit data center growth and gross margins decreasing with the 10nm ramp.Dialog Semi reported Q1 results that met revenue estimates and beat on EPSRelated semi ETFs: SOXL, SOXX, SMH, USD, PSI, XSD, SOXS, SSG, FTXL, XTH "
11,Intel -2.5% on three-year outlook,"Wed, May 8, 4:03 PM","
Update with more information from the investor event:Intel guides flat PC chip sales for the period, offset by double-digit growth in data center chips. Operating margins will remain somewhat steady at 32%, but gross margins will decline with the 10nm ramp.Manufacturing roadmap: The 10nm family (beyond Cannon Lake) will be available in mid-2019 with Ice Lake coming to notebooks. Server-based 10nm will arrive in H1 2020 Intel says 7nm will launch in 2021 with the lead product its first built on the Xe graphics architecture.Original post: Intel (NASDAQ:INTC) guides its three-year revenue growth in the low single digits during its annual investor meeting.Catch the meeting webcast here.Shares closed today down 2.5% to $49.24. "
12,Intel CPU shortages easing in June - report,"Wed, May 8, 9:25 AM","
Digitimes sources say Intel (NASDAQ:INTC) informed its notebook clients that entry-level processors would start shipping next month.The promised shipment volume suggests continuing but significantly smaller shortages.Brand vendors including Dell and HP will reportedly step up orders with Intel rather than with rival AMD (NASDAQ:AMD). "
13,Micron expects $100M from Intel deal close,"Tue, May 7, 9:57 AM","
In a regulatory filing, Micron (MU -0.9%) reveals the sale of Intel’s (INTC -1.4%) noncontrolling interest in IM Flash Technologies will close on October 31.Micron expects to pay Intel $1.3B to $1.5B in cash at closing for the noncontrolling interest in IMFT and the IMFT member debt that's owed to Intel.Micron sees a GAAP financial gain of about $100M. "
14,Analysts weigh in on AMD's Intel threat,"Wed, May 1, 2:45 PM","
After yesterday's AMD (NASDAQ:AMD) earnings, Jefferies analyst Mark Lipacis addresses the ""bear"" in the room that AMD can't compete with Intel (NASDAQ:INTC) ""on a sustained basis, due to the difference in scale and resources.”But Lipacis notes that AMD works with TSMC (NYSE:TSM), which is doing the ""heavy lifting"" on the next process node development. TSMC's clients include Apple and Xilinx, so it's more Intel versus AMD, Apple, Xilinx, and Nvidia.The analyst maintains a Buy rating and $34 PT.Seeking Alpha's EnerTuition of Beyond The Hype says AMD has entered ""hypergrowth with Rome production"" starting in Q2 and continuing for several quarters or years. The analyst notes that AMD guided 20% Q/Q growth for Q2 while Intel guided down for the quarter. "
15,Intel's post-earnings slide tops 13%,"Mon, Apr. 29, 1:14 PM","
There's a bit more sell-side bailing going on today, with Argus Research cutting its medium-term rating to Hold from Buy (though maintaining a long-term Buy on the name). Analyst James Kelleher is worried that data center weakness is behind the company's guidance cut. With that division being a strong driver of margins and growth, Kellerher wants to see a ""sustainable recovery"" before getting back into the stock.Deutsche Bank maintains a Buy rating, but trims its price target to $62 from $65.INTC -2.3% today to $51.22 vs. being about a $59 stock less than a week ago. "
16,Apple discussed buying Intel modem chip business - WSJ,"Fri, Apr. 26, 2:42 PM","
 Apple (AAPL -0.8%) held talks with Intel (INTC -10.1%) starting last year about acquiring parts of the latter's smartphone modem chip business, The Wall Street Journal reports. Those talks started around last summer and only halted recently, around the time Apple reached its multiyear supply agreement with Qualcomm (QCOM +1.8%), according to the report. But it shows Apple warming up to the idea of bigger deals. And Intel's now exploring strategic alternatives for its modem chips and has hired Goldman Sachs to manage a process that could result in a sale for a few billion dollars. Other than Apple, interested buyers might be Broadcom (AVGO -0.8%), ON Semiconductor (ON -1.3%), Samsung (OTC:SSNLF) or China's Unisoc Communications. A sale could mean unloading an Intel business that was losing about $1B per year; Intel said it was abandoning making modems for 5G phones after news of the Apple-Qualcomm settlement.Previously: Behind Apple's surprise settlement with Qualcomm (Apr. 18 2019)  "
17,Tech sees red amid data center woes,"Fri, Apr. 26, 1:22 PM","
The tech sector (NYSEARCA:XLK) drops 0.8% and the Philadelphia Semiconductor Index is down 1.6% in what's turned out to be a hard weak for data center players.Microsoft (MSFT +0.4%) reported weak capex in Q1 at $2.57B (consensus: $4.54B) though guided for a sequential increase.Xilinx's (XLNX +0.9%) earnings results included Data Center and TME end market decline of 7% Y/Y and 12% Q/Q.Yesterday, Intel (INTC -10.2%) reported a Q1 Data Center miss with $4.9B in revenue versus the $5.1B consensus. For FY19, Intel expects data-centric revenue down low-single digits Y/Y and DCG down mid-single digits.The news is a negative read-through for Nvidia (NVDA -5.9%), which gets roughly 30% of its revenue from the data center.Related semi ETFs: SOXL, SOXX, SMH, USD, PSI, XSD, SOXS, SSG, FTXL, XTH "
18,"Sell-side shakes off Intel print, looks to H2","Fri, Apr. 26, 9:58 AM","
SunTrust raises its Intel (INTC -9.4%) target from $53 to $56 and maintains a Hold rating after the earnings print that lowered the FY19 outlook.The firm notes that Q2 guidance was far worse than expected on DCG and CCG trends, but the revised FY19 guide is only modestly lower and suggests an H2 improvement.SunTrust thinks the DCG result is problematic for Nvidia (NVDA -6.9%), which gets 30% of its revenue from the data center.Credit Suisse maintains an Outperform rating and $58 target saying that while Q1 and Q2 were worse than expected, but the thesis is still supported as data will drive accelerating compute TAM for all players with Intel remaining well positioned.Concerns on 10nm yield/costs and positioning compared to AMD (AMD -1.6%) will continue to weigh on INTC's multiple until H2 estimates are met or exceeded, says the firm.Jefferies chimes in that its field checks indicate AMD share gains will ramp in Q3 and sees Intel's issues as largely company-specific rather than an industry problem.Previously: Intel -6% on cut 2019 guidance (April 25)Previously: Intel updates 10nm progress on earnings call (April 25) "
19,Intel updates 10nm progress on earnings call,"Thu, Apr. 25, 5:49 PM","
On the Intel (NASDAQ:INTC) earnings call, CEO Bob Swan says the lowered FY guidance is due to customers and China and elsewhere reducing orders and says it's the result of a bumpy transition to expand the company's market reach.Intel says the 10nm chips will launch in products this holiday season and hopes to qualify its first Ice Lake 10nm chips this quarter. The company thinks it can ship more 10nm parts than originally anticipated.Previously: Intel -6% on cut 2019 outlook (April 25) "
20,Intel -6% on cut 2019 guidance,"Thu, Apr. 25, 4:37 PM","
Intel (NASDAQ:INTC) plunges 6.4% on Q1 beats with downside Q2 guidance and a cut downside FY19 outlook.Q2 expects about $15.6B in revenue compared to the $16.88B estimate and EPS of about $0.89 versus $1.02.FY19 outlook drops its revenue forecast to $69B from $71.5B with the consensus at $71.34B. EPS drops to $4.35 from $4.60 versus the $4.52 estimate. Intel says it's taking a more cautious view of the year, but expects H2 improvement.Revenue breakdown: Client Computing, $8.6B (consensus: $8.38B); Data Center, $4.9B (consensus:$5.1B); IoT, $910M (consensus: $789.5M); Non-Volatile Memory, $915M (consensus: $942.1M, down 12% Y/Y); Programmable Solutions, $486M (consensus: $567.5M).Desktop unit volumes dropped 8% Y/Y and 13% Q/Q and ASPs grew 3% and 7%, respectively. Notebook units fell 7% Y/Y and 16% Q/Q while ASPs rose 13% and 9%. Data center units fell 8% and 17% with ASPs up 1% and down 4%.Earnings call starts at 5 PM with a webcast here.Press release.Previously: Intel beats by $0.02, beats on revenue (April 25) "
21,"Intel beats by $0.02, beats on revenue","Thu, Apr. 25, 4:01 PM","
Intel (NASDAQ:INTC): Q1 Non-GAAP EPS of $0.89 beats by $0.02; GAAP EPS of $0.87.Revenue of $16.1B (flat Y/Y) beats by $70M.Shares -2.8%.Press Release "
22,"Watch Intel's Q1 for modem impact, PC chips","Thu, Apr. 25, 3:05 PM","
Intel (NASDAQ:INTC) reports Q1 results after the bell today. The company recently exited the 5G phone modem race after the Qualcomm-Apple truce and continues to feel pressure from low PC chip supplies expected to last through mid-2019 (although Microsoft's print yesterday hinted this was easing). The report also makes the first since CEO Bob Swan became permanent in the role.Rewind: Last quarter, Intel beat on profit but missed on revenue citing weaker modem demand, China slowdown, cloud customers absorbing capacity, and weakening NAND environment. The Q1 and FY19 revenue guides were downside.The modem exit happened after Q1 closed so analysts/investors will watch the guidance for signs of impact. UBS expects the loss of around $2.6B in iPhone revenue by FY21.Segment revenue: Data-center group is expected to drop 2.5% Y/Y to $5.1B and client-computing (traditional PC) up 2% to $8.38B. Nonvolatile memory could drop 9% to $942.1M and IoT -6% to $789.5M.Previously: Intel Q1 Earnings Preview (April 24) "
23,Intel looks to streamline autonomous vehicle project,"Wed, Apr. 24, 8:58 PM","
Intel (NASDAQ:INTC) isn't taking the foot off the gas of its autonomous vehicle project, despite laying off several dozen employees at a Silicon Valley research lab.The cuts were part of an efficiency move as Intel begins centralizing more of its autonomous activities in Mobileye's home nation of Israel.The Information reports Intel's Mobileye unit acquired Eonite Perception late last year. Eonite is described as a Palo Alto-based startup specialized in software for 3D mapping and tracking using lidar. "
24,Intel Q1 Earnings Preview,"Wed, Apr. 24, 5:35 PM","
Intel (NASDAQ:INTC) is scheduled to announce Q1 earnings results on Thursday, April 25th, after market close.The consensus EPS Estimate is $0.87 (flat Y/Y) and the consensus Revenue Estimate is $16.03B (-0.4% Y/Y).Over the last 2 years, intc has beaten EPS estimates 100% of the time and has beaten revenue estimates 75% of the time.Recent earnings Analysis from our contributors:Intel Earnings Preview: The Sentiment Is Less Bullish Than It Was In January "
25,Intel drops 5G phones after Qualcomm-Apple truce,"Wed, Apr. 17, 8:53 AM","
Intel (NASDAQ:INTC) ""does not expect to launch 5G modem products in the smartphone space, including those originally planned for launches in 2020.""Apple's long-rumored 5G iPhone was expected to release in 2020 with an Intel modem.Intel says it will instead focus on 4G and 5G modems for PCs, IoT, and other data-centric devices.Earlier this month, UBS analyst Timothy Accuri suggested Apple wouldn't release its 5G phone in 2020 partly due to Intel not being ready to supply a compatible processing chip.Intel refuted the note a day later and said it remained on track to supply its XMM 8160 5G modems for 2020 devices.Apple was relying on Intel modems due to a long-standing legal battle with Qualcomm, which ended yesterday in a global settlement.Intel shares are up 4.5% pre-market. "
26,Intel acquires FPGA solutions provider,"Tue, Apr. 16, 12:13 PM","
Intel (NASDAQ:INTC) acquires Omnitek, provider of optimized video and vision FPGA IP solutions, for undisclosed terms.England-based Omnitek has over 220 FPGA IP cores and accompanying software plus 40 employees that will all join Intel's FPGA business in its Programmable Solutions Group. 44Intel shares are up 1.6% to $57.18. "
27,Intel gets target boost on upside potential,"Mon, Apr. 15, 9:31 AM","
Macquarie raises Intel (NASDAQ:INTC) from $58 to $62 citing multiple expansion in the tech sector and the potential for ""slight upside"" in the upcoming Q1 results.Key quote: ""Underlying demand remains strong, and Intel should benefit from intensifying competition among cloud vendors and new streaming services.""The firm says concerns about Intel's server market share losses are ""overblown.""Rating remains at Outperform.Intel is expected to report Q1 results on April 25. Analysts estimate $16.03B in revenue with $0.87 EPS. "
28,Cowen raises AMD on better positioning,"Wed, Apr. 10, 9:14 AM","
Cowen raises its AMD (NASDAQ:AMD) price target from $28 to $33 citing increased confidence in its competitive position against Intel (NASDAQ:INTC).The firm believes near-term product launches will inflect in H2, showing early signs of long-term EPS and revenue power.Cowen thinks AMD can take a more material portion of 7nm x86 PC and CPU TAM.Rating maintained at Outperform.AMD is expected to report earnings on April 24. Analysts estimate $1.26B in revenue with $0.06 EPS.AMD shares are up 0.9% pre-market to $27.49. "
29,"Intel, Google partner on hybrid cloud","Tue, Apr. 9, 12:41 PM","
INTC (INTC -0.7%) and Google (GOOG -0.6%)(GOOGL -0.5%) Cloud announce a hybrid cloud partnership to collaborate on Anthos, a new reference design based on INTC's second-gen Xeon Scalable processor and an optimized Kubernetes software stack.Anthos aims to simplify deployment across on-premise data centers and the cloud.Intel will publish the production design as an Intel Select Solution and as a developer platform. "
30,Samsung increases 5G modem production,"Tue, Apr. 9, 7:17 AM","
Samsung (OTC:SSNNF,OTC:SSNLF) will increase its 5G modem chip production on expectations of rapid market growth, according to South Korea's Maeil Business Newspaper sources.The company is increasing its non-memory semiconductor focus intending to become the world's largest chipmaker by 2030.Qualcomm (NASDAQ:QCOM), MediaTek, and Intel (NASDAQ:INTC) are also producing 5G modems. Intel's might go into next year's iPhones though UBS doesn't think the devices will be ready in time. Intel says its modems remain on schedule. "
31,BofAML raises AMD on margin potential,"Mon, Apr. 8, 11:32 AM","
Bank of America Merrill Lynch reiterates a Buy rating on AMD (AMD -1.7%) and raises its PT from $30 to $35 saying that while cyclical headwinds exist for H1, gross margins are expected to expand in 2020.Analyst Vivek Arya cites the ""potential for more benign price competition with key rival Intel (INTC -0.3%),"" where the new management is more focused on FCF and 5G than pressuring AMD on pricing.Additional AMD margin tailwinds include new products and lower costs.BofAML raises its 2020 and 2021 view for AMD's revenue and earnings.Previously: AMD unveils new Ryzen Pro mobile processors (April 8) "
32,AMD unveils new Ryzen Pro mobile processors,"Mon, Apr. 8, 9:57 AM","
AMD (AMD -0.3%) unveils its second-gen Ryzen Pro mobile processors and Athlon Pro processors, which both include Radeon Vega graphics chips. The products are for entry-level to premium notebooks.The Ryzen 7 Pro 3700U has four cores, eight threads, and runs at 4 GHz on 15W of power with Radeon Vega 10 graphics.AMD Ryzen 5 Pro 3500U with four cores, eight threads, 3.7 GHz on 15W with Vega 8 graphics.The Ryzen 3 Pro 3300U has four cores, four threads, and runs at 3.5 GHz on 15W with Radeon Vega 6 graphics.The AMD Athlon Pro 300U has two cores, four threads, and runs at 3.3 GHz on 15W with Vega 3 graphics.AMD says the new chips ""dramatically outperform"" the previous generation and Intel's (INTC -0.5%) rival i7-8650U and i7-7600U processors.PCs based on the new products will come later this year from HP, Lenovo, and others. "
33,"Intel downgraded on semi data, AMD pressure","Fri, Apr. 5, 7:13 AM","
Wells Fargo downgrades Intel (NASDAQ:INTC) from Outperform to Market Perform but increases the target from $55 to $60.The firm cites weak YTD semi data, challenging comps, potential sentiment weakening on growing evidence of AMD share gains, and the negative impact of rising depreciation costs on gross margins and valuations.Intel shares are down 1.3% pre-market to $55.20. "
34,Intel's 5G modem still coming in 2020,"Thu, Apr. 4, 3:17 PM","
Intel (INTC +0.6%) tells VentureBeat it's still planning to supply its XMM 8160 5G modem to 2020 devices, hitting back at yesterday's UBS note suggesting Apple won't launch a 5G iPhone next year because it won't have a compatible processing chip.Qualcomm, Samsung, and Huawei have modems in the early 5G devices. Apple threw Qualcomm out of its supply chain in favor of Intel due to ongoing legal battles.Last year, Intel bumped its XMM 8060 5G modem to accelerate the release of the second-gen modem to meet customer demands better.The 8160 modems should be finished later this year. "
35,Nomura new Buy on Intel's EPS potential,"Wed, Apr. 3, 8:29 AM","
Nomura initiates Intel (NASDAQ:INTC) at Buy citing its lead in ""high-growth markets"" with the potential to see EPS growth exceed top-line growth.The firm forecasts 8% to 10% long-term sales growth with margin expansion and share count reductions potentially boosting the EPS growth.Price target set at $65.Intel shares are up 1.3% pre-market to $55.08 on a busy morning of news for the industry.Previously: Intel unveils Cascade Lake processors (April 2)Previously: Intel hires Qualcomm's Davis as new CFO (April 2)Previously: TSMC's 7nm orders grow on smartphone demand (April 3) "
36,TSMC's 7nm orders grow on smartphone demand,"Wed, Apr. 3, 8:11 AM","
TSMC (NYSE:TSM) has seen its 7nm chip orders ramp up and Q1 might have been the bottom for the process utilization rate in 2019, according to DigiTimes sources.The utilization increase driven by chip orders for Android devices could create a strong Q2 for TSMC.HiSilicon and AMD have ""aggressively"" ramped up wafer starts while Qualcomm and MediaTek are expected to follow later in Q2. Apple's iPhones for this fall will occupy most of the process capacity in Q3.Last month, TSMC kicked off volume production of its EUV-based 7nm chips and mass shipments are expected in the second half.TSMC gains 0.6% pre-market to $41.51. Micron (NASDAQ:MU) +3.1% and Intel (NASDAQ:INTC) +1.2% are also gaining possibly on the general market recovery the report suggests. "
37,Intel hires Qualcomm's Davis as new CFO,"Tue, Apr. 2, 6:54 PM","
 Intel (NASDAQ:INTC) has hired Qualcomm's (NASDAQ:QCOM) George Davis to be its new executive VP and chief financial officer. That move is effective tomorrow. Davis has been executive VP and CFO at Qualcomm since March 2013. He'll report to Intel CEO Bob Swan and oversee the global finance organization (including finance, accounting and reporting, tax, treasury, internal audit and investor relations) as well as Intel's information technology organization. After hours: INTC +0.2%; QCOM -0.8%.  "
38,Intel unveils Cascade Lake processors,"Tue, Apr. 2, 2:32 PM","
Intel's (INTC -0.3%) data-centric event today unveils some new products:Cascade Lake: Second-generation Xeon Scalable processors (formerly known as Cascade Lake) led by the flagship Xeon Platinum 9200 with as many as 56 cores or 112 cores for a two-chip system, Optane DC persistent memory, and Deep Learning Boost. Intel says the 9200 offers 1.33x the average performance of the previous generation. Find more specs here.Intel controls about 95% of the server processor market but expects to lose some share this year as manufacturing delays have opened a path for rival AMD (AMD +0.7%).FPGAs: The Agilex family of field-programmable gate arrays or FPGAs. The collection of embedded chipsets built on Intel's 10nm technology will debut in Q3. "
39,Lynx boosts Intel PT on shifting focus,"Tue, Apr. 2, 9:58 AM","
Lynx Equity Strategies raises its Intel (INTC -0.4%) target from $43 to $61 ahead of this morning's expected updage, which could include the Cascade Lake launch and refocus investor attention on the Datacenter Group in the second half of 2019.The firm doesn't expect the update to move shares, but the event and launch of new server CPUs from Intel and AMD will help steer the focus and trigger a server cycle later this year. "
40,Intel lays off hundreds of IT workers - report,"Mon, Apr. 1, 11:46 AM","
Intel (NASDAQ:INTC) has laid off a ""substantial number"" of IT workers at sites across the company in the past week, according to a report from The Oregonian on Friday.Sources say the layoffs numbered in the hundreds. Intel confirmed the job cuts but didn't confirm the number or provide a reason.Intel shares are up 1.3% to $54.38. "
41,Micron +4.5% on potential Samsung DRAM issues,"Fri, Mar. 29, 10:46 AM","
CLSA notes that some Korean media outlets are reporting that Amazon's DRAM chips from Samsung (OTC:SSNNF,OTC:SSNLF) might have quality issues.Amazon is reportedly in talks with competitors including Micron (NASDAQ:MU) and SK Hynix (OTC:HXSCF,OTC:HXSCL) about potential replacements if a Samsung settlement isn't reached.CLSA analyst Sanjeev Rana says the problem could have serious implications for Samsung if it's not resolved, including customer refunds, DRAM inventory replacement at discount, market share loss, and litigation.Micron shares are up 4.5% to $41.12. DRAM peer Intel (NASDAQ:INTC) gains 1.2%. "
42,Intel extends chairman's term,"Mon, Mar. 25, 4:40 PM","
Intel's (NASDAQ:INTC) board extends Andy Bryant's term as chairman for an additional year if he is re-elected at this year's annual meeting.Bryant's term would continue through to the end of the 2020 annual meeting. He doesn't plan to stand for re-election again. "
43,Google's Stadia doesn't have AMD CPU,"Mon, Mar. 25, 10:09 AM","
Google's (GOOG -0.6%)(GOOGL -0.5%) Stadia streaming product doesn't use AMD's (NASDAQ:AMD) Ryzen or Epyc CPU, PCGamesN confirms with AMD.At the initial Stadia launch, Google made it clear that AMD was supplying a custom GPU. But the company was vague on the CPU details either because the decision was made at the last minute or Google plans to include AMD with Intel (NASDAQ:INTC) at a later date.AMD shares are down 1% to $26.12.Update: Post updated with link to the PCGamesN piece with more details including AMD's confirmation its CPU's aren't in Stadia at this time. "
44,Intel ends compute card development,"Fri, Mar. 22, 2:50 PM","
Intel (INTC -1.9%) confirms to Tom's Hardware that it will stop developing compute cards, small devices packing the important PC innards (processor, storage, RAM, etc.) that were meant to make it easier to install update hardware in docking station-like products.The compute cards made it to market in one generation of Intel's 7th Gen processors.Intel, to Tom's Hardware: ""We continue to believe modular computing is a market where there are many opportunities for innovation. However, as we look at the best way to address this opportunity, we’ve made the decision that we will not develop new Compute Card products moving forward. We will continue to sell and support the current Compute Card products through 2019 to ensure our customers receive the support they need with their current solutions, and we are thankful for their partnership on this change."" "
45,Automakers look to air it out,"Wed, Mar. 20, 9:57 AM","
 Automakers General Motors (GM -2.8%), Ford (F -2%) and Toyota (TM -0.3%) are playing catch-up with Tesla (TSLA +0.1%) in their ability to send over-the-air updates, according to The Wall Street Journal's Mike Colias. Colias reports that GM aims to unveil its first fully updatable vehicle this year before expanding the capability across its lineup over the next several years, while Ford will offer over-the-air updates on a new electric SUV coming in 2020. Wireless updates are expected to save manufacturers on costs for some easy fixes and potentially build brand trust with consumers if new features are well-received. Suppliers looking to benefit from the OTA push include Harman International Industries (OTC:SSNLF), Continental AG (OTCPK:CTTAF, OTCPK:CTTAY) and Aptiv (NYSE:APTV). On the chip side, Nvidia (NASDAQ:NVDA), Intel (NASDAQ:INTC) and NXP Semiconductors (NASDAQ:NXPI) are in the mix. Related ETFs: DRIV, KARS, EKAR.  "
46,Qualcomm patent will be reviewed in Intel case,"Mon, Mar. 18, 3:56 PM","
The U.S. Patent Trial and Appeal Board says Intel (INTC -0.3%) has shown a ""reasonable likelihood"" of winning arguments that a particular Qualcomm (QCOM +0.4%) patent is invalid.The Board institutes two reviews of the patent, covering the loading of software from one processor to another, to determine whether it covers a new idea.PTAB will hear arguments from both companies and issue its final decision in about a year. "
